approach,MeanSharpe,AnnReturn,AnnVol,MaxDD,Exposure,TradesPerYr,WinRate
A,0.1184,0.7784,2.7871,-1.8833,2.3618,1.9902,45.3108
B,0.2164,0.9231,3.0169,-1.9437,2.3553,1.9412,51.4721
D,0.1799,1.2513,3.8213,-2.3787,2.296,2.0147,46.7647
