approach,MeanSharpe,AnnReturn,AnnVol,MaxDD,Exposure,TradesPerYr,WinRate
A,-0.9325,-2.6379,3.4202,-4.7332,2.4691,17.2941,47.8373
B,-0.6052,-1.5631,3.6962,-4.7554,2.6431,15.7353,50.2588
C,-0.6547,-2.355,3.9708,-5.4592,2.6508,17.3333,49.5
D,-0.9303,-3.2293,5.2822,-6.789,2.2331,16.25,46.8059
