approach,MeanSharpe,AnnReturn,AnnVol,MaxDD,Exposure,TradesPerYr,WinRate
A,0.3979,3.9573,8.1754,-6.8321,13.1319,6.0784,54.6353
B,0.5442,4.6735,6.9191,-4.9329,9.3662,6.0882,55.0603
C,0.6851,5.6758,7.4298,-5.0386,9.1178,10.0061,55.0629
D,0.5034,8.749,13.1159,-9.6088,13.4197,6.0882,52.8353
