approach,MeanSharpe,AnnReturn,AnnVol,MaxDD,Exposure,TradesPerYr,WinRate
A,0.5943,10.3392,13.4168,-9.4937,24.0932,4.7059,50.2863
B,0.6056,6.6731,8.4931,-4.995,8.4475,5.2941,49.8985
C,0.7,6.6948,8.4509,-5.5352,10.7219,9.9619,54.9155
D,0.5474,13.6888,18.1213,-12.3181,22.8376,4.9706,48.4265
