approach,MeanSharpe,AnnReturn,AnnVol,MaxDD,Exposure,TradesPerYr,WinRate
A,0.3493,3.9779,8.4918,-7.1012,14.3746,5.8333,53.7275
B,0.6123,5.98,7.8499,-5.5044,10.1819,5.5147,54.8074
C,0.6371,5.8492,7.0568,-4.8032,8.6344,9.7763,51.9141
D,0.4859,8.2869,13.7729,-11.0387,14.0478,5.6912,53.8353
