approach,MeanSharpe,AnnReturn,AnnVol,MaxDD,Exposure,TradesPerYr,WinRate
A,-0.4233,-1.5269,3.6736,-3.7914,3.2963,4.1765,42.3804
B,-0.0664,-0.2018,3.4688,-2.8784,2.6535,4.1176,50.9529
C,-0.417,-1.2288,2.4825,-2.5025,3.4475,3.625,44.4625
D,-0.3813,-1.6696,6.5303,-6.3156,3.3826,4.3529,44.0015
