approach,MeanSharpe,AnnReturn,AnnVol,MaxDD,Exposure,TradesPerYr,WinRate
A,0.0992,4.6425,14.7752,-14.6603,18.426,33.4902,39.5539
B,0.4341,7.6919,12.0306,-10.819,13.3018,38.0441,41.1853
C,0.6978,11.4909,12.1121,-8.9571,7.6263,16.2647,47.9574
D,0.2576,14.4831,28.7831,-26.6501,18.9593,34.6029,39.9441
