approach,MeanSharpe,AnnReturn,AnnVol,MaxDD,Exposure,TradesPerYr,WinRate
A,-0.0783,-0.1031,2.9198,-2.8829,1.8458,7.0392,51.849
B,0.1775,0.6904,2.1716,-1.8403,1.069,5.4265,53.275
C,0.0682,0.7175,3.7925,-3.175,3.9812,11.75,59.4125
D,0.0422,0.8984,3.3103,-2.7822,1.4174,5.5294,51.8588
