approach,MeanSharpe,AnnReturn,AnnVol,MaxDD,Exposure,TradesPerYr,WinRate
A,-0.0418,0.0893,2.7199,-2.6121,1.5157,6.402,53.5676
B,0.2143,0.4579,2.3557,-2.1529,1.0749,5.5735,54.6838
C,0.212,1.2383,3.9,-3.4517,4.0733,13.8333,60.9667
D,0.0387,0.2291,2.5941,-2.3622,1.3312,5.6618,53.6647
