approach,MeanSharpe,AnnReturn,AnnVol,MaxDD,Exposure,TradesPerYr,WinRate
A,0.3789,10.3903,19.8023,-16.2105,31.1157,7.2451,50.2225
B,0.6034,12.3357,15.5938,-10.0703,17.2779,8.9559,56.1029
C,0.676,12.8112,14.6569,-8.5973,13.3267,11.2914,53.2119
D,0.4708,18.3147,30.9334,-23.4522,31.0143,7.8382,50.5191
