approach,MeanSharpe,AnnReturn,AnnVol,MaxDD,Exposure,TradesPerYr,WinRate
A,0.0779,2.8136,9.8557,-10.0063,12.8221,20.0392,41.2647
B,0.1581,2.7326,7.6132,-7.3184,7.92,21.4559,40.6956
C,0.5256,6.8754,8.7831,-6.7665,7.9151,13.0735,46.8368
D,0.1782,5.0619,14.7879,-15.0272,13.5163,21.2647,40.7353
