approach,MeanSharpe,AnnReturn,AnnVol,MaxDD,Exposure,TradesPerYr,WinRate
A,-1.2595,-5.1674,4.6939,-7.7803,3.9583,22.9216,43.9196
B,-0.9858,-3.4218,4.826,-7.0956,3.9231,22.5294,45.5456
C,-0.974,-3.3505,3.9146,-6.2786,2.8891,16.9687,46.1619
D,-1.2682,-5.6834,6.8509,-10.1551,3.9559,23.1029,43.0265
