strategy,timeframe,A,B,C,D
S1_MeanRev,daily,4.87,4.67,5.56,8.75
S1_MeanRev,hourly,-0.05,0.46,1.47,0.23
S2_Bollinger,daily,5.22,5.98,5.62,8.29
S2_Bollinger,hourly,0.2,0.69,1.45,0.9
S3_Donchian,daily,9.12,12.34,12.6,18.31
S3_Donchian,hourly,6.77,7.69,11.49,14.48
S4_Supertrend,daily,8.22,6.67,6.63,13.69
S4_Supertrend,hourly,3.17,2.73,6.88,5.06
S5_PivotPoints,daily,-1.64,-0.2,-1.53,-1.67
S5_PivotPoints,hourly,-5.2,-3.42,-3.44,-5.68
S6_VWAP,daily,0.7,0.92,,1.25
S6_VWAP,hourly,-2.6,-1.56,-2.16,-3.23
