strategy,approach,method,net_sharpe,ann_ret_pct,maxdd_pct,comm_level
S6_VWAP,A,MinVar,1.032,0.7,-0.65,gross
S6_VWAP,B,EW,0.5998,0.39,-1.09,gross
S6_VWAP,B,InvVol,1.0397,0.44,-0.28,gross
S6_VWAP,B,MaxSharpe,0.0432,0.04,-1.86,gross
S6_VWAP,B,MinVar,0.7563,0.44,-1.08,gross
S6_VWAP,C,EW,1.5629,1.09,-0.4,gross
S6_VWAP,C,InvVol,1.2234,1.0,-0.8,gross
S6_VWAP,C,MaxSharpe,1.1037,0.91,-0.82,gross
S6_VWAP,C,MinVar,1.4787,0.9,-0.47,gross
S6_VWAP,D,EW,1.3033,0.57,-0.12,gross
S6_VWAP,D,InvVol,0.8642,0.44,-0.14,gross
S6_VWAP,D,MaxSharpe,1.9834,0.72,-0.25,gross
S6_VWAP,D,MinVar,1.2996,0.57,-0.12,gross
S1_MeanRev,A,EW,0.3048,0.26,-1.76,net_0.04
S1_MeanRev,A,InvVol,-0.0317,-0.03,-2.55,net_0.04
S1_MeanRev,A,MaxSharpe,0.3476,0.34,-1.66,net_0.04
S1_MeanRev,A,MinVar,0.1337,0.12,-1.87,net_0.04
S1_MeanRev,B,EW,1.9025,0.94,-0.33,net_0.04
S1_MeanRev,B,InvVol,0.4657,0.23,-0.55,net_0.04
S1_MeanRev,B,MaxSharpe,1.4445,1.2,-0.54,net_0.04
S1_MeanRev,B,MinVar,1.578,0.79,-0.27,net_0.04
S1_MeanRev,C,EW,0.2846,0.24,-1.76,net_0.04
S1_MeanRev,C,InvVol,-0.0344,-0.03,-2.55,net_0.04
S1_MeanRev,C,MaxSharpe,0.3101,0.3,-1.63,net_0.04
S1_MeanRev,C,MinVar,0.1303,0.12,-1.87,net_0.04
S1_MeanRev,D,EW,2.2122,0.83,-0.13,net_0.04
S1_MeanRev,D,InvVol,1.2437,0.44,-0.12,net_0.04
S1_MeanRev,D,MaxSharpe,1.5945,0.93,-0.3,net_0.04
S1_MeanRev,D,MinVar,1.8218,0.7,-0.11,net_0.04
S2_Bollinger,A,EW,1.7908,2.7,-1.99,net_0.04
S2_Bollinger,A,InvVol,1.2107,2.33,-1.13,net_0.04
S2_Bollinger,A,MaxSharpe,1.1478,2.96,-3.33,net_0.04
S2_Bollinger,A,MinVar,1.8408,3.23,-1.31,net_0.04
S2_Bollinger,B,EW,2.0986,2.07,-0.76,net_0.04
S2_Bollinger,B,InvVol,1.2829,0.81,-0.61,net_0.04
S2_Bollinger,B,MaxSharpe,1.1721,1.53,-1.61,net_0.04
S2_Bollinger,B,MinVar,2.1932,1.73,-0.83,net_0.04
S2_Bollinger,C,EW,1.7922,2.48,-1.66,net_0.04
S2_Bollinger,C,InvVol,1.1383,2.15,-1.11,net_0.04
S2_Bollinger,C,MaxSharpe,1.1243,2.59,-2.04,net_0.04
S2_Bollinger,C,MinVar,1.8398,2.98,-1.25,net_0.04
S2_Bollinger,D,EW,2.622,3.19,-0.93,net_0.04
S2_Bollinger,D,InvVol,1.6467,2.31,-0.75,net_0.04
S2_Bollinger,D,MaxSharpe,1.8294,3.94,-1.67,net_0.04
S2_Bollinger,D,MinVar,2.3734,3.06,-0.62,net_0.04
S3_Donchian,A,EW,0.741,16.09,-24.21,net_0.04
S3_Donchian,A,InvVol,0.7041,14.48,-21.5,net_0.04
S3_Donchian,A,MaxSharpe,0.8316,17.5,-20.54,net_0.04
S3_Donchian,A,MinVar,0.8098,14.52,-17.06,net_0.04
S3_Donchian,B,EW,2.8322,9.3,-2.46,net_0.04
S3_Donchian,B,InvVol,2.7423,6.75,-1.71,net_0.04
S3_Donchian,B,MaxSharpe,2.4927,10.31,-2.65,net_0.04
S3_Donchian,B,MinVar,3.0064,9.11,-2.3,net_0.04
S3_Donchian,C,EW,0.8928,18.2,-22.42,net_0.04
S3_Donchian,C,InvVol,0.9188,15.64,-18.26,net_0.04
S3_Donchian,C,MaxSharpe,1.0658,19.11,-18.62,net_0.04
S3_Donchian,C,MinVar,1.0954,17.0,-15.33,net_0.04
S3_Donchian,D,EW,1.5685,19.02,-9.41,net_0.04
S3_Donchian,D,InvVol,1.525,10.5,-6.41,net_0.04
S3_Donchian,D,MaxSharpe,1.4594,20.36,-13.42,net_0.04
S3_Donchian,D,MinVar,1.8438,15.38,-8.77,net_0.04
S4_Supertrend,A,EW,1.2682,14.35,-11.12,net_0.04
S4_Supertrend,A,InvVol,0.8042,12.43,-18.68,net_0.04
S4_Supertrend,A,MaxSharpe,1.2556,18.65,-16.31,net_0.04
S4_Supertrend,A,MinVar,1.1204,14.57,-15.15,net_0.04
S4_Supertrend,B,EW,2.2036,3.79,-1.13,net_0.04
S4_Supertrend,B,InvVol,1.5489,1.56,-1.03,net_0.04
S4_Supertrend,B,MaxSharpe,1.4099,3.09,-2.18,net_0.04
S4_Supertrend,B,MinVar,2.4174,3.57,-0.88,net_0.04
S4_Supertrend,C,EW,1.4713,16.07,-11.12,net_0.04
S4_Supertrend,C,InvVol,0.9634,14.06,-17.97,net_0.04
S4_Supertrend,C,MaxSharpe,1.3751,19.67,-16.03,net_0.04
S4_Supertrend,C,MinVar,1.3383,15.74,-14.01,net_0.04
S4_Supertrend,D,EW,2.03,15.24,-3.51,net_0.04
S4_Supertrend,D,InvVol,1.0964,6.95,-2.83,net_0.04
S4_Supertrend,D,MaxSharpe,1.7569,16.44,-5.76,net_0.04
S4_Supertrend,D,MinVar,2.0305,12.77,-2.71,net_0.04
S5_PivotPoints,A,EW,1.5526,1.87,-0.67,net_0.04
S5_PivotPoints,A,InvVol,0.781,0.74,-0.81,net_0.04
S5_PivotPoints,A,MaxSharpe,0.9333,1.36,-1.2,net_0.04
S5_PivotPoints,A,MinVar,1.3694,1.06,-0.76,net_0.04
S5_PivotPoints,B,EW,2.2379,1.76,-0.49,net_0.04
S5_PivotPoints,B,InvVol,1.3834,1.07,-0.64,net_0.04
S5_PivotPoints,B,MaxSharpe,1.732,1.56,-0.75,net_0.04
S5_PivotPoints,B,MinVar,2.1297,1.46,-0.34,net_0.04
S5_PivotPoints,C,EW,2.0371,1.89,-0.71,net_0.04
S5_PivotPoints,C,InvVol,1.303,1.13,-0.67,net_0.04
S5_PivotPoints,C,MaxSharpe,1.1661,1.36,-0.98,net_0.04
S5_PivotPoints,C,MinVar,1.7078,1.26,-0.69,net_0.04
S5_PivotPoints,D,EW,2.4086,2.08,-0.46,net_0.04
S5_PivotPoints,D,InvVol,1.0398,0.63,-0.75,net_0.04
S5_PivotPoints,D,MaxSharpe,1.9082,2.26,-0.86,net_0.04
S5_PivotPoints,D,MinVar,2.1779,1.26,-0.44,net_0.04
S6_VWAP,A,EW,0.477,0.36,-0.85,net_0.04
S6_VWAP,A,InvVol,0.3544,0.28,-1.32,net_0.04
S6_VWAP,A,MaxSharpe,0.478,0.51,-0.82,net_0.04
S6_VWAP,A,MinVar,0.4839,0.33,-0.69,net_0.04
S6_VWAP,B,EW,0.0465,0.03,-1.24,net_0.04
S6_VWAP,B,InvVol,0.2898,0.13,-0.49,net_0.04
S6_VWAP,B,MaxSharpe,-0.4464,-0.43,-2.44,net_0.04
S6_VWAP,B,MinVar,0.2223,0.13,-1.24,net_0.04
S6_VWAP,C,EW,1.0862,0.76,-0.6,net_0.04
S6_VWAP,C,InvVol,0.6267,0.52,-1.18,net_0.04
S6_VWAP,C,MaxSharpe,0.585,0.52,-1.04,net_0.04
S6_VWAP,C,MinVar,0.9015,0.55,-0.78,net_0.04
S6_VWAP,D,EW,1.1729,0.51,-0.12,net_0.04
S6_VWAP,D,InvVol,0.7222,0.37,-0.14,net_0.04
S6_VWAP,D,MaxSharpe,1.5389,0.56,-0.35,net_0.04
S6_VWAP,D,MinVar,1.1331,0.5,-0.12,net_0.04
S1_MeanRev,A,EW,0.2404,0.2,-1.86,net_0.05
S1_MeanRev,A,InvVol,-0.1526,-0.12,-2.72,net_0.05
S1_MeanRev,A,MaxSharpe,0.2401,0.24,-1.78,net_0.05
S1_MeanRev,A,MinVar,0.0672,0.06,-1.97,net_0.05
S1_MeanRev,B,EW,1.8207,0.9,-0.34,net_0.05
S1_MeanRev,B,InvVol,0.3477,0.18,-0.62,net_0.05
S1_MeanRev,B,MaxSharpe,1.3407,1.12,-0.57,net_0.05
S1_MeanRev,B,MinVar,1.487,0.75,-0.28,net_0.05
S1_MeanRev,C,EW,0.2211,0.19,-1.86,net_0.05
S1_MeanRev,C,InvVol,-0.1552,-0.12,-2.72,net_0.05
S1_MeanRev,C,MaxSharpe,0.2033,0.2,-1.72,net_0.05
S1_MeanRev,C,MinVar,0.0639,0.06,-1.97,net_0.05
S1_MeanRev,D,EW,2.1539,0.81,-0.13,net_0.05
S1_MeanRev,D,InvVol,1.1517,0.41,-0.15,net_0.05
S1_MeanRev,D,MaxSharpe,1.5017,0.88,-0.31,net_0.05
S1_MeanRev,D,MinVar,1.7601,0.67,-0.11,net_0.05
S2_Bollinger,A,EW,1.6919,2.55,-2.12,net_0.05
S2_Bollinger,A,InvVol,1.1529,2.21,-1.17,net_0.05
S2_Bollinger,A,MaxSharpe,1.0679,2.77,-3.57,net_0.05
S2_Bollinger,A,MinVar,1.766,3.1,-1.39,net_0.05
S2_Bollinger,B,EW,1.9686,1.94,-0.82,net_0.05
