date,META_A,META_B,META_C,META_D,META_MEANBCD,META_BEST
2022-01-03 10:00:00,1.000099825392157,1.000073585392157,1.00005959,1.000116608137255,1.0000832611764705,1.0000331452941176
2022-01-03 11:00:00,1.0002706790146119,1.0002442542244756,1.0001391051301811,1.0002510447922273,1.0002114677325633,1.000184591784278
2022-01-03 12:00:00,1.000291668419956,1.0002090342514,1.0001377037587997,1.0002627862685358,1.0002031746393432,1.0001575980768909
2022-01-03 13:00:00,1.0002163572447833,1.0001781999641877,1.0001011856916013,1.000221602605741,1.000166996048434,1.000115507032704
2022-01-03 14:00:00,1.000307574917295,1.0002111666221118,1.0001305408184824,1.0003069466120442,1.0002162169464957,1.0001626818928675
2022-01-03 15:00:00,1.0002835515501896,1.0001982729195749,1.0001019708149077,1.0003327950338912,1.000211010232724,1.0001441205404293
2022-01-03 16:00:00,1.0003562330356484,1.0002573026604695,1.0001270781787865,1.000388698435998,1.0002576892960922,1.0001858886180235
2022-01-03 17:00:00,1.0002258444466035,1.0002038010547678,1.0000404120687754,1.0002817443302379,1.0001753162448417,1.0000636409958445
2022-01-03 18:00:00,1.0002759685093867,1.0000944630898412,0.9999249432849844,1.0003136749906532,1.000111018928702,0.9999582401708108
2022-01-04 10:00:00,1.0001935695996855,1.0000607249031288,0.9998545425890337,1.0002294306324147,1.0000482256510437,0.9999245065795787
2022-01-04 11:00:00,1.0003950432972033,1.0001113579776306,0.9999781140238024,1.0004051711395003,1.0001648711453583,0.9999751327573468
2022-01-04 12:00:00,1.0006330900439382,1.0002996988505148,1.0001342710962737,1.000545469235727,1.0003264716731195,1.0001634479763108
2022-01-04 13:00:00,1.0005772399042199,1.0003019795338282,1.0001204562023662,1.0004763092767615,1.0002995777978574,1.0001657283489722
2022-01-04 14:00:00,1.0005149915417302,1.0002636517866565,1.00007835877914,1.000458404576176,1.0002667997459276,1.000188096074932
2022-01-04 15:00:00,1.0006085407724261,1.0003235904285586,1.0001282314122826,1.0005019278516363,1.0003179116795948,1.0002234267388495
2022-01-04 16:00:00,1.0007983239380802,1.0004254132687573,1.0002573796376852,1.0006580435240708,1.000446938993038,1.000323946153342
2022-01-04 17:00:00,1.0008590916273699,1.0005086535671874,1.0003252070905986,1.0007436199961603,1.0005258192646371,1.000411100848215
2022-01-04 18:00:00,1.0007888649754777,1.0005418299436943,1.0001905714576254,1.0007367839361145,1.0004897125112107,1.0004442739899218
2022-01-05 10:00:00,1.000739554832585,1.0004966077091046,1.000203774463458,1.0006209042088874,1.000440424497179,1.0003990561646412
2022-01-05 11:00:00,1.0006152707307008,1.0004240728821006,1.000111939381077,1.0005244339551123,1.0003534776911218,1.0003265284100094
2022-01-05 12:00:00,1.0004254368464243,1.0004340380866743,1.0000098924690912,1.0003837968075033,1.0002759042999556,1.0003364926429446
2022-01-05 13:00:00,0.9998947091905588,1.0003792412738735,0.9996502101854904,0.9999994597489152,1.0000096170595763,1.000281701173004
