strategy,timeframe,A,B,C,D
S1_MeanRev,daily,2.79,2.61,0.7,3.28
S1_MeanRev,hourly,-1.17,-0.09,,0.38
S2_Bollinger,daily,3.48,2.75,-0.19,3.2
S2_Bollinger,hourly,0.05,0.05,,0.05
S3_Donchian,daily,14.36,7.97,10.55,17.57
S3_Donchian,hourly,4.82,-2.63,11.96,9.7
S4_Supertrend,daily,13.24,4.67,9.6,15.4
S4_Supertrend,hourly,4.89,-1.69,10.41,9.19
S5_PivotPoints,daily,-0.08,0.02,,0.05
S5_PivotPoints,hourly,-2.06,-0.33,,0.28
S6_VWAP,daily,0.69,0.98,,1.08
S6_VWAP,hourly,-5.74,-2.57,,0.17
