portfolio,comm,net_sharpe,ann_ret_pct,ann_vol_pct,maxdd_pct,calmar
META-A,0.0005,1.7717,7.56,4.27,-2.96,2.55
META-D,0.0005,3.0766,8.38,2.73,-1.78,4.72
META-BEST,0.0005,3.9251,7.11,1.81,-0.69,10.24
META-MEAN(BCD),0.0005,3.3102,7.03,2.12,-1.02,6.86
META-A,0.0006,1.7608,7.52,4.27,-2.96,2.54
META-D,0.0006,3.0607,8.34,2.73,-1.78,4.68
META-BEST,0.0006,3.8979,7.06,1.81,-0.7,10.15
META-MEAN(BCD),0.0006,3.2827,6.97,2.12,-1.03,6.76
