date,S1_A,S1_C,S2_A,S2_C,S3_A,S3_B,S4_A,S4_D,S5_A,S5_C,S6_A,S6_D
2022-01-03,0.9995017147058823,1.0,1.0,1.0,0.9986746964705883,1.0,0.9986067741176471,0.9993213676470588,1.0,1.0,1.0,1.0
2022-01-04,1.0022196068038853,1.0,1.0026898352941176,1.0026898352941176,1.009606956327849,1.0,0.9987830646330552,1.0052685789362685,1.0,1.0,1.00076439,1.00076439
2022-01-05,1.0021901297566265,1.0,1.0012838164216642,1.0012838164216642,1.0056241738807652,1.0,0.9992046245262617,1.0030247833966808,1.0,1.0,1.0021095303676675,1.0021095303676675
2022-01-06,1.0021901297566265,1.0,1.000961412456624,1.000961412456624,1.0083599022774847,1.0,1.0012865390690882,1.004101961802314,1.0,1.0,1.0020800565579508,1.0020800565579508
2022-01-10,1.0021901297566265,1.0,1.0002558547762115,1.0002558547762115,1.0032673834493187,1.0,0.9971162619147727,0.9988911415952408,1.0,1.0,1.0020800565579508,1.0020800565579508
2022-01-11,1.0028738716145587,1.000682247647059,0.9993504261183971,1.0002264354863653,1.0022753231526997,1.0,1.0007967981049664,0.9993259324679411,1.0,1.0,1.0020800565579508,1.0020800565579508
2022-01-12,1.0050683024076965,1.0028718828549716,1.0014427925589549,1.002291217626352,1.0045080859943498,1.0,1.0001893421176047,1.0017951010765325,1.0,1.0,1.0020800565579508,1.0020800565579508
2022-01-13,1.0050387415752728,1.002842386623123,1.0020607069144076,1.0029096554805335,1.0060681827756108,1.0,1.0004292110557114,1.0034142924804514,1.0,1.0,1.0020800565579508,1.0020800565579508
2022-01-14,1.0050387415752728,1.002842386623123,1.005008733557854,1.0058601797001991,1.0114570354946162,1.0,1.0049498611244887,1.0090914198985903,1.0,1.0,1.0020800565579508,1.0020800565579508
2022-01-17,1.0050387415752728,1.002842386623123,1.0049791744774552,1.0058305955772668,1.0335199186560986,1.004290158235294,1.0164789941168784,1.0216983391305503,1.0,1.0,1.0020800565579508,1.0020800565579508
2022-01-18,1.0050387415752728,1.002842386623123,1.0049791744774552,1.0058305955772668,1.021867313515531,0.9981993286499682,1.00597926836786,1.0189128859535739,1.0,1.0,1.0043080465776293,1.0020800565579508
2022-01-19,1.0050387415752728,1.002842386623123,1.0049791744774552,1.0058305955772668,1.0168636266073008,0.9990040100106531,1.0028184424509825,1.0189936216138544,1.0,1.0,1.004278508105671,1.0020800565579508
2022-01-20,1.0050387415752728,1.002842386623123,1.0049791744774552,1.0058305955772668,1.0261198036260857,1.0002187947732801,1.0084958831358022,1.0222485935387837,1.0,1.0,1.004278508105671,1.0020800565579508
2022-01-21,1.0050387415752728,1.002842386623123,1.0049791744774552,1.0058305955772668,1.052760663566885,1.0030894321281034,1.0250514494367835,1.0298199222447086,1.0,1.0,1.004278508105671,1.0020800565579508
2022-01-24,1.0050387415752728,1.002842386623123,1.0049791744774552,1.0058305955772668,1.041184286849835,1.0030599294977467,1.0161761071857223,1.0261652682273783,1.0,1.0,1.006213289050421,1.0040106021017354
2022-01-25,1.0050387415752728,1.002842386623123,1.0049791744774552,1.0058305955772668,1.0496849771635315,1.0030599294977467,1.0243734940405242,1.0299634258072008,0.9974535682352941,1.0,1.0036806300776153,1.0014834873360334
2022-01-26,1.006847084726218,1.00464677792299,1.006787410450688,1.0076403634929518,1.0314264442351029,1.0030599294977467,1.0139184947209987,1.026473429272921,1.0007631713943268,1.0,1.0070108949538459,1.0048064619776205
2022-01-27,1.0062396858622042,1.0046172294883453,1.006180047586269,1.0076107270116728,1.0288788579278498,1.0030599294977467,1.0112874901439226,1.0261084437004429,1.0007337371834035,1.0,1.0062563813783334,1.0047769088463858
2022-01-28,1.0100989009479378,1.0084406744273435,1.01003903394227,1.0114455648201335,1.015778702655775,1.0030599294977467,1.0073446687952246,1.0247217317771524,1.0007337371834035,1.0,1.007935842812066,1.0064243487497184
2022-01-31,1.0112406549512836,1.0095805540728748,1.011180720275615,1.0125888410099362,1.0187261972775414,1.0030599294977467,1.010157973283012,1.0269774378614311,1.0007337371834035,1.0,1.0079061976402186,1.0063947480335789
2022-02-01,1.0112109125790791,1.0095508605271668,1.0116867335472186,1.0130955589308328,1.0204537675449017,1.0030599294977467,1.010332412115523,1.0289413159419747,1.0007337371834035,1.0,1.0079061976402186,1.0063947480335789
2022-02-02,1.0112109125790791,1.0095508605271668,1.0116569780550555,1.013065762002629,1.0311896404904382,1.0030599294977467,1.016319925477108,1.0337573629286232,1.0007337371834035,1.0,1.0079061976402186,1.0063947480335789
2022-02-03,1.0112109125790791,1.0095508605271668,1.0116569780550555,1.013065762002629,1.0256373175481528,1.0030599294977467,1.0119535412687137,1.0311111040078709,1.0007337371834035,1.0,1.0079061976402186,1.0063947480335789
2022-02-04,1.0112109125790791,1.0095508605271668,1.0116569780550555,1.013065762002629,1.0239412500752947,1.0030599294977467,1.0121423313213727,1.0314833132811239,1.0007337371834035,1.0,1.0079061976402186,1.0063947480335789
