approach,MeanSharpe,AnnReturn,AnnVol,MaxDD,Exposure,TradesPerYr,WinRate
A,-1.1622,-1.897,1.7331,-2.7709,0.4393,3.6863,17.3971
B,-0.5196,-0.3253,1.471,-1.4716,0.2422,2.3529,20.4441
D,0.0563,0.2812,0.4124,-0.1229,0.03,0.2647,6.9118
