approach,MeanSharpe,AnnReturn,AnnVol,MaxDD,Exposure,TradesPerYr,WinRate
A,0.2728,2.4101,4.5395,-3.223,4.3027,2.5,52.5078
B,0.3306,2.61,3.55,-2.0787,3.0888,1.9265,43.5574
C,-0.1597,-0.4906,5.0539,-5.24,5.7578,5.4444,43.1944
D,0.4897,3.2757,3.4231,-1.8471,3.1051,1.7206,49.5471
