approach,MeanSharpe,AnnReturn,AnnVol,MaxDD,Exposure,TradesPerYr,WinRate
A,-2.1629,-6.0826,3.1997,-7.0226,1.4869,9.4804,16.6627
B,-1.4197,-2.5694,2.1179,-3.5485,0.7004,5.2353,13.0941
D,0.0264,0.1743,0.2757,-0.0682,0.0503,0.25,1.5971
