portfolio,net_sharpe,ann_ret_pct,ann_vol_pct,maxdd_pct,calmar
META-A,1.7717,7.56,4.27,-2.96,2.55
META-B,3.9171,5.02,1.28,-0.37,13.49
META-C,2.7053,7.68,2.84,-1.27,6.05
META-D,3.0766,8.38,2.73,-1.78,4.72
META-MEAN(BCD),3.3102,7.03,2.12,-1.02,6.86
META-BEST,3.9251,7.11,1.81,-0.69,10.24
