approach,MeanSharpe,AnnReturn,AnnVol,MaxDD,Exposure,TradesPerYr,WinRate
A,0.3944,2.3345,4.2981,-3.2143,2.9041,8.7745,52.9147
B,0.5144,2.1609,2.8106,-1.6869,1.4774,6.3382,49.7441
C,0.4673,2.294,5.3748,-4.3561,5.6156,15.3,53.895
D,0.6305,3.2506,3.2532,-1.7109,1.7626,5.1618,52.9353
