approach,MeanSharpe,AnnReturn,AnnVol,MaxDD,Exposure,TradesPerYr,WinRate
A,0.309,2.8857,4.1041,-2.6153,3.9348,1.6373,41.8284
B,0.3335,2.7475,3.6363,-1.9979,3.0037,1.6324,39.275
C,-0.2552,-0.115,8.1088,-7.9812,11.2888,9.875,37.45
D,0.4274,3.1953,2.9951,-1.3435,2.2346,1.2647,42.1721
