approach,MeanSharpe,AnnReturn,AnnVol,MaxDD,Exposure,TradesPerYr,WinRate
A,-0.6035,-1.722,2.4728,-3.0571,0.8434,3.1373,29.2784
B,-0.1435,-0.0937,1.3132,-1.2109,0.4725,1.8676,26.9868
D,0.1049,0.3806,0.7747,-0.416,0.2375,0.8529,22.8426
