approach,MeanSharpe,AnnReturn,AnnVol,MaxDD,Exposure,TradesPerYr,WinRate
A,-0.2255,2.0823,23.829,-25.8076,32.1775,20.7549,32.05
B,-0.4438,-2.6272,8.5584,-11.9884,8.0971,21.3971,29.3162
C,0.095,11.9566,23.3813,-19.5444,16.4144,13.3529,38.2897
D,0.0986,9.6996,19.3325,-18.3804,27.1744,19.1029,29.4176
