strategy,timeframe,A,B,C,D
S1_MeanRev,daily,2.25,1.93,6.0,1.72
S1_MeanRev,hourly,2.57,1.87,,0.85
S2_Bollinger,daily,1.65,1.63,10.4,1.26
S2_Bollinger,hourly,0.06,0.04,,0.06
S3_Donchian,daily,4.56,5.29,11.81,4.93
S3_Donchian,hourly,21.71,21.4,13.35,19.1
S4_Supertrend,daily,3.25,2.4,9.69,3.19
S4_Supertrend,hourly,17.93,9.85,11.66,12.75
S5_PivotPoints,daily,0.34,0.07,,0.15
S5_PivotPoints,hourly,4.38,2.35,,0.26
S6_VWAP,daily,1.31,1.01,,0.96
S6_VWAP,hourly,9.22,5.24,,0.25
