strategy,approach,ticker,test_year,horizon
S5_PivotPoints,C,AFLT,2025,?
S5_PivotPoints,D,AFLT,2022,h1
S5_PivotPoints,D,AFLT,2023,h1
S5_PivotPoints,D,AFLT,2024,h1
S5_PivotPoints,D,AFLT,2025,h1
S6_VWAP,B,AFLT,2022,h1
S6_VWAP,B,AFLT,2023,h1
S6_VWAP,B,AFLT,2024,h1
S6_VWAP,B,AFLT,2025,h1
S6_VWAP,C,AFLT,2022,?
S6_VWAP,C,AFLT,2023,h1
S6_VWAP,C,AFLT,2024,h5
S6_VWAP,C,AFLT,2025,h5
S6_VWAP,D,AFLT,2022,h1
S6_VWAP,D,AFLT,2023,h1
S6_VWAP,D,AFLT,2024,h1
S6_VWAP,D,AFLT,2025,h1
S1_MeanRev,B,IRAO,2022,h1
S1_MeanRev,B,IRAO,2023,h1
S1_MeanRev,B,IRAO,2024,h1
S1_MeanRev,B,IRAO,2025,h1
S1_MeanRev,C,IRAO,2022,h5
S1_MeanRev,C,IRAO,2023,h1
S1_MeanRev,C,IRAO,2024,h1
S1_MeanRev,C,IRAO,2025,h1
S1_MeanRev,D,IRAO,2022,h22
S1_MeanRev,D,IRAO,2023,h22
S1_MeanRev,D,IRAO,2024,h5
S1_MeanRev,D,IRAO,2025,h1
S2_Bollinger,B,IRAO,2022,h1
S2_Bollinger,B,IRAO,2023,h1
S2_Bollinger,B,IRAO,2024,h1
S2_Bollinger,B,IRAO,2025,h1
S2_Bollinger,C,IRAO,2022,h5
S2_Bollinger,C,IRAO,2023,h1
S2_Bollinger,C,IRAO,2024,h1
S2_Bollinger,C,IRAO,2025,h1
S2_Bollinger,D,IRAO,2022,h22
S2_Bollinger,D,IRAO,2023,h22
S2_Bollinger,D,IRAO,2024,h5
S2_Bollinger,D,IRAO,2025,h1
S3_Donchian,B,IRAO,2022,h1
S3_Donchian,B,IRAO,2023,h1
S3_Donchian,B,IRAO,2024,h1
S3_Donchian,B,IRAO,2025,h1
S3_Donchian,C,IRAO,2022,h1
S3_Donchian,C,IRAO,2023,h1
S3_Donchian,C,IRAO,2024,h22
S3_Donchian,C,IRAO,2025,h22
S3_Donchian,D,IRAO,2022,h5
S3_Donchian,D,IRAO,2023,h5
S3_Donchian,D,IRAO,2024,h5
S3_Donchian,D,IRAO,2025,h5
S4_Supertrend,B,IRAO,2022,h1
S4_Supertrend,B,IRAO,2023,h1
S4_Supertrend,B,IRAO,2024,h1
S4_Supertrend,B,IRAO,2025,h1
S4_Supertrend,C,IRAO,2022,h22
S4_Supertrend,C,IRAO,2023,h1
S4_Supertrend,C,IRAO,2024,h1
