approach,MeanSharpe,AnnReturn,AnnVol,MaxDD,Exposure,TradesPerYr,WinRate
A,0.3815,13.2675,24.4356,-20.7506,45.5967,4.7157,49.4402
B,0.429,7.9687,11.1065,-7.8607,10.6212,5.2941,56.2824
C,0.3482,10.8719,18.3185,-13.5119,21.0284,11.7583,48.8584
D,0.7018,17.5674,20.4659,-15.6765,41.1374,4.9265,51.5279
