date,META_A,META_D,META_BEST
2022-01-03,0.9994638642156862,0.9996660106862745,0.9998868946078432
2022-01-04,1.0023451147239812,1.003505074424174,1.0014542965218673
2022-01-05,1.0017419775288636,1.0024573372072576,1.0010720464241565
2022-01-06,1.0024853698575478,1.003032573271582,1.001192596795863
2022-01-10,1.0008279110644254,1.001202922870737,1.0002090230293357
2022-01-11,1.0012414868125687,1.0010733496423878,1.0003904125046175
2022-01-12,1.0022264732420039,1.002571689003187,1.0015113985101871
2022-01-13,1.00262411180291,1.003199465582619,1.001879270731466
2022-01-14,1.0047658880398955,1.0054836073672389,1.0033152599683735
2022-01-17,1.0103349546743046,1.0101116290785161,1.0061168645803473
2022-01-18,1.0070714347906484,1.009062888899161,1.0046427176366728
2022-01-19,1.0057172490344215,1.008434627152552,1.0047909643904918
2022-01-20,1.0081920102713402,1.0100971872507172,1.0055295353978133
2022-01-21,1.0153130075342316,1.0136135616430544,1.0072517649818855
2022-01-24,1.0123130779182676,1.0129522254998051,1.0069744850622648
2022-01-25,1.0141973110379077,1.0136342752314742,1.0071732436605862
2022-01-26,1.0112619068345265,1.0132059396220015,1.0077654850285676
2022-01-27,1.0100736638822336,1.0124161304933108,1.0076909426904512
2022-01-28,1.0088461411638834,1.0129146652383403,1.0090177230206672
2022-01-31,1.0101787878482995,1.013654521247979,1.0097631436677228
2022-02-01,1.010572674285329,1.0142747477293192,1.0101642377247988
2022-02-02,1.0133378628803114,1.0166384245396847,1.0109473124862403
2022-02-03,1.0117029004558076,1.015663352672848,1.010516001032829
2022-02-04,1.0114555202512,1.0153053643998773,1.0105767968456973
2022-02-07,1.0088607222441546,1.013173922500862,1.0099097720708896
2022-02-08,1.0062145253749932,1.011071832951999,1.0092747394200607
2022-02-09,1.0069393252746084,1.0117258981953516,1.0099369876067912
2022-02-10,1.0095217253233917,1.0140483158873583,1.0108567751435484
2022-02-11,1.010819152252642,1.0152335020556065,1.0114206409630841
2022-02-14,1.0094533262789243,1.0136556736238078,1.0106315411890054
2022-02-15,1.0085140421316412,1.0127084680484904,1.0101799823963096
2022-02-16,1.0106044246825068,1.0155114461206203,1.0112360431689102
2022-02-17,1.0144652445933517,1.019809478446151,1.0141155974845883
2022-02-18,1.0294542718277606,1.0316221815882964,1.0223705803727454
2022-02-21,1.0245206591610296,1.0300946315186514,1.021449702424302
2022-02-22,1.0822620873573363,1.0582868088590536,1.0421674155401324
2022-02-24,1.0712497676911952,1.0579022597000867,1.0404517543800822
2022-02-25,1.0696600735753934,1.062095951758729,1.0410156202720235
2022-03-24,1.0759190881928187,1.065528629839247,1.0427727813597079
2022-03-25,1.083164945986185,1.0682235550302588,1.0450283115626344
2022-03-28,1.085532140321979,1.068207845860332,1.045018066187031
2022-03-29,1.07474197500559,1.068207845860332,1.045018066187031
2022-03-30,1.0632453632668106,1.068207845860332,1.045018066187031
2022-03-31,1.0568649317688688,1.068207845860332,1.045018066187031
2022-04-01,1.0533875459729858,1.0681271388827056,1.045018066187031
2022-04-04,1.06101198485921,1.0710800569912742,1.0463497420319734
2022-04-05,1.0642551106034253,1.0731801464457202,1.0474728948709036
2022-04-06,1.0619840212903409,1.0721825043985844,1.046912591350095
2022-04-07,1.065895706372413,1.074045997955747,1.047100695575223
2022-04-08,1.0680301318015475,1.0756405915082665,1.047674177022336
2022-04-11,1.0695179556791337,1.0766645183583288,1.0480257651776976
2022-04-12,1.0698052375340974,1.0765830031376458,1.0480735641943806
2022-04-13,1.0746521220005087,1.081390763394264,1.0499936372245355
2022-04-14,1.0737481024049331,1.0804522430100059,1.04965709285217
2022-04-15,1.0788072264936657,1.0846518734890662,1.0509595822896831
2022-04-18,1.0804436215810973,1.0860602048351966,1.0514906678168117
2022-04-19,1.078432484671293,1.0849634872919338,1.0505041487573592
2022-04-20,1.0804369307598871,1.0869716046202953,1.0510861184776445
2022-04-21,1.0808289037450998,1.0880672793507957,1.051251541296305
2022-04-22,1.0825473011154572,1.0899856102351793,1.0520901176424535
2022-04-25,1.077525749126667,1.085580336575045,1.0514764624608839
2022-04-26,1.0752076777014306,1.0835558818671562,1.0515248313059304
2022-04-27,1.0776830362072622,1.0858552953791425,1.0512288414986115
2022-04-28,1.0749283634138593,1.0829658487032965,1.0514061210396268
2022-04-29,1.0778610965800992,1.085652491509211,1.0518830515348512
2022-05-04,1.077900621957856,1.085519530477774,1.0524120193900335
2022-05-05,1.078518097223468,1.0864494532351054,1.0522690844007776
2022-05-06,1.0796860683518346,1.0873125952524132,1.0523198292520637
2022-05-11,1.0808047449538103,1.0891208917178667,1.0512808259112392
2022-05-12,1.081502067247982,1.0896708970207483,1.0518849016651488
2022-05-13,1.0818498941112216,1.0891278338899029,1.052773648809281
2022-05-16,1.0804918145290734,1.0883523571471516,1.0531081702165175
2022-05-17,1.0807138643891965,1.0876048639441176,1.0536441278348645
2022-05-18,1.081571531732209,1.0885787437253474,1.0542894093520008
2022-05-19,1.0819853937003527,1.0905863726828249,1.0552454357841883
2022-05-20,1.081998067462008,1.0922751139256153,1.0559249910846376
2022-05-23,1.0837936784729376,1.0952005945204155,1.0575881970685432
2022-05-24,1.0851131393678946,1.0950000567418299,1.0578481148170553
2022-05-25,1.0880583677061748,1.0962465582152459,1.060504075961863
2022-05-26,1.0918279246932874,1.09991322792356,1.064253883316151
2022-05-27,1.093011876990672,1.1014126817199918,1.064452386698404
2022-05-30,1.0933841987347637,1.1018765000979687,1.0646987278007118
2022-05-31,1.0947884378497033,1.102455410887325,1.0660502362200122
2022-06-01,1.0962726072226023,1.1052835373750292,1.067551047035127
2022-06-02,1.0982843383921423,1.106292096249715,1.0686054557961402
2022-06-03,1.0990083886950486,1.1076707245966784,1.0691403244658688
2022-06-06,1.0993204995352235,1.1079869775113758,1.069616118114676
2022-06-07,1.1010981683588497,1.1089409023757018,1.0703069996290655
2022-06-08,1.1023272781491966,1.1105486283705723,1.0713131657535084
2022-06-09,1.1037866142176365,1.111680668183571,1.0721109062886411
2022-06-10,1.1050134490157484,1.1130899211352714,1.0731855991953625
2022-06-14,1.1058264804277445,1.1139835404976213,1.0748053693729411
2022-06-15,1.1065979482378208,1.1143690276213238,1.0759128089945205
2022-06-16,1.1071139727619332,1.115114462822726,1.0759285344095586
2022-06-17,1.1084011282139197,1.116160163487412,1.0775844989703975
2022-06-20,1.1092863640763124,1.1170615260685042,1.0773145563412811
2022-06-21,1.1106853567786483,1.1183713488266693,1.0783708406612917
2022-06-22,1.1099806248508486,1.1177206139315066,1.0781666430019698
2022-06-23,1.1091079686392888,1.116926707827896,1.0776618884006794
2022-06-24,1.1090558860164423,1.1169109371512893,1.0781370968283168
2022-06-27,1.1103199090853713,1.118354856068108,1.0789542614335832
2022-06-28,1.1103297680730346,1.1179447225592405,1.079673695229968
2022-06-29,1.1104741075683526,1.11836920408795,1.0797915269006018
2022-06-30,1.1102335139901272,1.1183174557195044,1.0798527490688008
2022-07-01,1.1114825806811919,1.119296087430999,1.080426972413589
2022-07-04,1.111893670577354,1.119888917336431,1.0814369501452665
2022-07-05,1.112175245222381,1.12007501344996,1.0817403720910659
2022-07-06,1.1120992192123902,1.1205727377795371,1.082068653568645
2022-07-07,1.1119474991138811,1.1203661271274457,1.0816547264518703
2022-07-08,1.110711084136237,1.1193888950224866,1.0819025960099589
2022-07-11,1.1118744495682493,1.1205668368459833,1.082650734200753
2022-07-12,1.1145821980693267,1.122802971473269,1.0847333976816085
2022-07-13,1.1147816696002224,1.1228858251960299,1.0849378616320513
2022-07-14,1.1148506362239663,1.123129374177607,1.0856445941970436
2022-07-15,1.114923883003757,1.1242906248750693,1.0860877752882365
2022-07-18,1.1151528540471594,1.1242682719934045,1.0862356134497295
2022-07-19,1.1152910839124697,1.1239869888895422,1.0861765193570283
