approach,MeanSharpe,AnnReturn,AnnVol,MaxDD,Exposure,TradesPerYr,WinRate
A,0.1081,0.9647,2.4263,-1.3088,1.6061,1.3039,41.7196
B,0.1787,0.9813,1.6538,-0.7368,1.16,1.0147,33.4382
D,0.2404,1.0806,1.6571,-0.6235,1.0574,0.9559,36.7706
