date,S1_MeanRev,S2_Bollinger,S3_Donchian,S4_Supertrend,S5_PivotPoints,S6_VWAP
2022-01-03 10:00:00,0.000616904705882353,0.0,-0.00017991058823529416,0.00016195823529411766,0.0,0.0
2022-01-03 11:00:00,-0.00016015823529411764,0.0,0.0006974452941176471,0.0004877323529411765,0.0,0.0
2022-01-03 12:00:00,-9.694117647058907e-07,0.0,4.466235294117648e-05,8.220941176470588e-05,0.0,0.0
2022-01-03 13:00:00,8.389e-05,-8.917647058823535e-07,-0.0002525970588235294,-0.00028213647058823526,0.0,0.0
2022-01-03 14:00:00,-8.525176470588236e-05,3.3972352941176474e-05,0.00037107470588235294,0.00022739235294117648,0.0,0.0
2022-01-03 15:00:00,9.385e-05,3.777058823529412e-05,-2.62117647058823e-06,-0.00027309529411764707,0.0,0.0
2022-01-03 16:00:00,5.6477058823529416e-05,-2.6441764705882353e-05,0.00031525941176470585,9.06705882352941e-05,0.0,0.0
2022-01-03 17:00:00,0.00041242235294117646,-0.00016593411764705883,-0.00033196647058823526,-0.0006965747058823529,0.0,0.0
2022-01-03 18:00:00,-2.3529411764705884e-05,-0.0008152923529411764,0.0011629382352941176,-2.344e-05,0.0,0.0
2022-01-04 10:00:00,0.0,-2.3529411764705884e-05,-0.0007217170588235294,0.0002509894117647059,0.0,0.0
2022-01-04 11:00:00,0.0,0.0,0.0009279035294117647,0.00028070470588235295,0.0,0.0
2022-01-04 12:00:00,0.0,0.0,0.0008876417647058823,0.000540074705882353,0.0,0.0
2022-01-04 13:00:00,0.0,0.0,-0.0004113923529411765,7.650352941176471e-05,0.0,0.0
2022-01-04 14:00:00,0.0,0.0003640811764705882,-0.0005508464705882353,-0.0001865094117647059,0.0,0.0
2022-01-04 15:00:00,0.0,-0.00014759294117647057,0.0005040664705882353,0.00020453294117647058,0.0,0.0
2022-01-04 16:00:00,0.0,-7.757647058823528e-06,0.0007857282352941176,0.0003600358823529412,0.0,0.0
2022-01-04 17:00:00,0.0,0.00014757352941176472,-1.103176470588234e-05,0.00022777352941176474,0.0,0.0
2022-01-04 18:00:00,0.0,-0.0001242970588235294,-0.0004167876470588235,0.0001200864705882353,0.0,0.0
2022-01-05 10:00:00,0.0,6.988470588235295e-05,-0.0002867247058823529,-7.878764705882352e-05,0.0,0.0
2022-01-05 11:00:00,0.0,-0.00020940588235294116,-0.00033369,-0.00020205764705882352,0.0,0.0
2022-01-05 12:00:00,0.0,0.00017057058823529412,-0.0010101211764705883,-0.00029875235294117645,0.0,0.0
2022-01-05 13:00:00,0.0,0.0003035958823529412,-0.0024757870588235295,-0.0010108205882352942,0.0,0.0
2022-01-05 14:00:00,0.0,-0.00016384529411764707,0.00030509294117647055,-0.0001507341176470588,0.0,0.0
2022-01-05 15:00:00,0.0,7.942764705882352e-05,9.329117647058824e-05,0.0005553105882352942,0.0,0.0
2022-01-05 16:00:00,0.0,0.00015921058823529412,0.00014622411764705887,0.0004562835294117647,0.0,0.0
2022-01-05 17:00:00,0.0,-0.00023792352941176472,0.0006914423529411765,0.0006791194117647059,0.0,0.0
2022-01-05 18:00:00,0.0,0.00022819941176470588,0.002627124117647059,0.002933250588235294,0.0,0.0
2022-01-06 10:00:00,0.0,-2.3529411764705884e-05,0.0012770794117647056,0.002389321764705882,0.0,0.0
2022-01-06 11:00:00,0.0,0.0,-0.0012497135294117648,-0.0015699447058823532,0.0,0.0
2022-01-06 12:00:00,0.0,0.0,-0.0009762052941176473,-0.00045545529411764713,0.0,0.0
2022-01-06 13:00:00,0.0,0.0,0.0005390364705882354,0.00029659176470588235,0.0,0.0
2022-01-06 14:00:00,0.0,0.0,-0.0011388670588235294,-0.0009210923529411765,0.0,0.0
2022-01-06 15:00:00,0.0,0.0,0.00040712176470588236,0.0008205452941176468,0.0,0.0
2022-01-06 16:00:00,0.0,0.0,-3.370941176470598e-05,0.000385105294117647,0.0,0.0
2022-01-06 17:00:00,0.0,0.0,0.0019417729411764706,0.0008822135294117647,0.0,0.0
2022-01-06 18:00:00,0.0,0.0,-0.007908852941176471,-0.006565219411764705,0.0,0.0
2022-01-10 10:00:00,0.0,0.0,0.0017561729411764708,0.0009771929411764705,0.0,0.0
2022-01-10 11:00:00,0.0,0.0,0.00022486470588235292,0.0010139452941176472,0.0,0.0
2022-01-10 12:00:00,0.0,0.0,0.001054739411764706,0.00019466882352941177,0.0,0.0
2022-01-10 13:00:00,0.0,0.0,0.0012110570588235296,0.0007226817647058823,0.0,0.0
2022-01-10 14:00:00,0.0,0.0,0.0018835499999999997,-8.182588235294114e-05,0.0,0.0
2022-01-10 15:00:00,0.0,0.0,-0.0009490852941176471,-0.00045604,0.0,0.0
2022-01-10 16:00:00,0.0,0.0,0.003023237647058824,0.0008503147058823529,0.0,0.0
2022-01-10 17:00:00,0.0,0.0,0.0002911829411764706,0.0011280717647058824,0.0,0.0
2022-01-10 18:00:00,0.0,0.0,-0.004747327647058824,-0.0015566370588235294,0.0,0.0
2022-01-11 10:00:00,0.0,0.0,-0.0017597011764705884,-0.00038210058823529415,0.0,0.0
2022-01-11 11:00:00,0.0,0.0003995111764705882,-0.0018120182352941176,-0.0012470229411764705,0.0,0.0
2022-01-11 12:00:00,0.0,-1.4052352941176471e-05,-0.00047507,0.00025207058823529415,0.0,0.0
2022-01-11 13:00:00,0.0,5.618941176470588e-05,-0.0005767358823529411,7.161529411764706e-05,0.0,0.0
2022-01-11 14:00:00,0.0,0.0003569529411764706,-0.0006984829411764706,-0.0006930058823529413,0.0,0.0
2022-01-11 15:00:00,0.0,-2.3529411764705884e-05,-0.00014345941176470585,0.00040349705882352944,0.0,0.0
2022-01-11 16:00:00,0.0,0.0,0.0011243017647058822,-0.0007929523529411766,0.0,0.0
2022-01-11 17:00:00,0.0,0.0,-0.00017153470588235294,0.0008685864705882352,0.0,0.0
2022-01-11 18:00:00,0.0,0.0,-6.58935294117646e-05,-0.0001979964705882353,0.0,0.0
2022-01-12 10:00:00,0.0,0.0,1.5182941176470558e-05,0.0009453800000000001,0.0,0.0
2022-01-12 11:00:00,0.0,0.0,-0.000736655294117647,-0.0005565488235294118,0.0,0.0
2022-01-12 12:00:00,0.0,0.0,-0.0022495235294117647,-0.0008285194117647059,0.0,0.0
2022-01-12 13:00:00,0.0,0.0,-3.310823529411756e-05,-8.663058823529408e-05,0.0,0.0
2022-01-12 14:00:00,0.0,0.0,0.00032326823529411767,0.0003915229411764706,0.0,0.0
2022-01-12 15:00:00,0.0,0.0,0.00037982941176470587,0.0003056158823529411,0.0,0.0
2022-01-12 16:00:00,0.0,0.0,-0.0007192164705882353,-0.0008932764705882353,0.0,0.0
2022-01-12 17:00:00,0.0,0.0,0.0001097841176470588,-0.0007668388235294117,0.0,0.0
2022-01-12 18:00:00,0.0,0.0,0.0018968782352941176,0.00017839176470588235,0.0,0.0
2022-01-13 10:00:00,0.0,0.0,0.0005355558823529412,0.00022582294117647056,0.0,0.0
2022-01-13 11:00:00,0.0,0.0,0.0009306964705882353,0.0002477517647058824,0.0,0.0
2022-01-13 12:00:00,0.0,0.0,-0.0001479311764705882,-6.939058823529414e-05,0.0,0.0
2022-01-13 13:00:00,0.0,0.0,-0.0007571105882352942,0.001096075882352941,0.0,0.0
2022-01-13 14:00:00,0.0,0.0,0.0009219464705882354,0.0014884323529411763,0.0,0.0
2022-01-13 15:00:00,0.0,0.0,-0.0009837311764705882,-0.000831164705882353,0.0,0.0
2022-01-13 16:00:00,0.0,0.0,0.004611136470588235,0.002142788823529412,0.0,0.0
2022-01-13 17:00:00,0.0,0.0,0.0031574511764705885,0.0015361694117647059,0.0,0.0
2022-01-13 18:00:00,0.0,0.0,-0.002628488235294118,-0.001751039411764706,0.0,0.0
2022-01-14 10:00:00,0.0,0.0,0.0007879341176470589,0.0003371252941176471,0.0,0.0
2022-01-14 11:00:00,0.0,0.0,0.005005004117647059,0.002732585294117647,0.0,0.0
2022-01-14 12:00:00,0.0,0.0,0.0011646311764705883,0.0005145817647058825,0.0,0.0
2022-01-14 13:00:00,0.0,0.0,0.0017352164705882352,0.0004256270588235294,0.0,0.0
2022-01-14 14:00:00,0.0,0.0,0.000647034117647059,-0.0005442464705882353,0.0,0.0
2022-01-14 15:00:00,0.0,0.0,0.0062817511764705885,0.0020373617647058825,0.0,0.0
2022-01-14 16:00:00,0.0,0.0,-0.011552941764705883,-0.005457509411764706,0.0,0.0
2022-01-14 17:00:00,0.0,0.0,0.0031868576470588236,0.00037744823529411775,0.0,0.0
2022-01-14 18:00:00,0.0,0.0,-0.002778937647058823,-0.0015985405882352939,0.0,0.0
2022-01-17 10:00:00,0.0,0.0,0.002714321176470588,0.0010492547058823531,0.0,0.0
2022-01-17 11:00:00,0.0,0.0,-0.0003413,-7.4535294117647275e-06,0.0,0.0
2022-01-17 12:00:00,0.0,0.0,0.0013897582352941176,0.0006072611764705882,0.0,0.0
2022-01-17 13:00:00,0.0,0.0,0.004027489411764706,0.0012934570588235294,0.0,0.0
2022-01-17 14:00:00,0.0,0.0,0.0015224958823529412,-0.00014255823529411762,0.0,0.0
2022-01-17 15:00:00,0.0,0.0,0.0009980505882352941,0.00020501,0.0,0.0
2022-01-17 16:00:00,0.0,0.0,0.004148537058823529,0.0025908923529411763,0.0,0.0
2022-01-17 17:00:00,0.0,0.0,-0.008122178235294117,-0.003440685294117647,0.0,0.0
2022-01-17 18:00:00,0.0,0.0,0.008292370588235294,0.004345847647058824,0.0,0.0
2022-01-18 10:00:00,0.0,0.0,0.005335767058823529,0.003959214117647059,0.0,0.0
2022-01-18 11:00:00,0.0,0.0,0.0024175794117647057,-0.0006063023529411765,0.0,0.0
