strategy,approach,method,net_sharpe,ann_ret_pct,maxdd_pct,comm_level
S6_VWAP,A,MinVar,2.9017,4.01,-1.22,gross
S6_VWAP,B,EW,3.0719,3.9,-0.75,gross
S6_VWAP,B,InvVol,2.1752,2.17,-0.48,gross
S6_VWAP,B,MaxSharpe,2.393,3.05,-1.12,gross
S6_VWAP,B,MinVar,3.1285,3.92,-0.63,gross
S6_VWAP,C,EW,3.254,3.86,-0.44,gross
S6_VWAP,C,InvVol,2.1362,2.48,-0.61,gross
S6_VWAP,C,MaxSharpe,2.7646,3.43,-0.58,gross
S6_VWAP,C,MinVar,3.2122,3.94,-0.44,gross
S6_VWAP,D,EW,3.4579,4.03,-0.7,gross
S6_VWAP,D,InvVol,2.3721,2.91,-0.57,gross
S6_VWAP,D,MaxSharpe,2.9715,3.7,-0.56,gross
S6_VWAP,D,MinVar,3.4072,4.17,-0.7,gross
S1_MeanRev,A,EW,2.5564,4.22,-1.09,net_0.05
S1_MeanRev,A,InvVol,2.031,2.87,-0.72,net_0.05
S1_MeanRev,A,MaxSharpe,1.811,4.5,-2.53,net_0.05
S1_MeanRev,A,MinVar,2.6657,3.7,-0.71,net_0.05
S1_MeanRev,B,EW,2.682,3.81,-0.89,net_0.05
S1_MeanRev,B,InvVol,1.5943,1.55,-0.68,net_0.05
S1_MeanRev,B,MaxSharpe,2.0211,4.05,-2.42,net_0.05
S1_MeanRev,B,MinVar,2.8271,3.44,-0.45,net_0.05
S1_MeanRev,C,EW,3.2214,4.69,-0.93,net_0.05
S1_MeanRev,C,InvVol,2.0846,2.89,-0.72,net_0.05
S1_MeanRev,C,MaxSharpe,2.5276,5.42,-2.0,net_0.05
S1_MeanRev,C,MinVar,3.2115,4.38,-0.56,net_0.05
S1_MeanRev,D,EW,3.2131,4.34,-0.78,net_0.05
S1_MeanRev,D,InvVol,2.4161,3.0,-0.73,net_0.05
S1_MeanRev,D,MaxSharpe,2.016,4.0,-2.18,net_0.05
S1_MeanRev,D,MinVar,3.0463,3.78,-0.62,net_0.05
