approach,MeanSharpe,AnnReturn,AnnVol,MaxDD,Exposure,TradesPerYr,WinRate
A,0.4755,14.8464,19.9885,-15.4373,30.5329,3.0784,53.3804
B,0.3551,4.6735,6.9421,-3.9225,4.5638,2.3971,50.2015
C,0.2094,9.6846,14.8039,-10.7451,15.0036,9.6694,41.658
D,0.5836,15.3956,15.0916,-10.5076,24.0466,3.1912,50.4353
