approach,MeanSharpe,AnnReturn,AnnVol,MaxDD,Exposure,TradesPerYr,WinRate
A,-0.0583,-0.0287,0.3345,-0.2363,0.1932,0.2843,7.0255
B,0.0109,0.0249,0.0629,-0.0266,0.0304,0.0735,4.4118
D,0.0148,0.0515,0.1816,-0.08,0.0719,0.1471,7.8426
