feature,importance
cpi_us_diff22,0.056358144
rv_m,0.054708604
cpi_us,0.046738602
rv_q,0.027142823
rv_2w,0.026202705
m2_ru,0.019797038
rv_w,0.019375373
yahoo_sp500_ma5,0.016237192
yahoo_sp500_lag1,0.015016154
rv_annualized,0.014715361
idx_MOEXMM_rv_annualized_ma5,0.0146029275
rv,0.01212453
key_rate_cbr_lag1,0.011613904
m2_ru_lag1,0.011611434
bv_annualized,0.011128136
bv,0.010968167
sp500,0.009982307
close_MOEXFN,0.009750066
idx_MOEXMM_rv_annualized_ma22,0.00951763
idx_CNYRUB_TOM_rv_annualized_ma22,0.009073657
si_fut_diff22,0.008874517
close_MOEXEU,0.008428667
cpi_us_lag1,0.007915959
yahoo_gold_ma22,0.0075329794
yahoo_sp500_ma22,0.0066604237
fed_rate_lag1,0.0064742086
pmi_ru,0.006365596
yahoo_brent_ret22,0.006236815
yahoo_brent_ma22,0.0058805537
m2_ru_diff22,0.005754813
yahoo_wti_ma22,0.005741838
key_rate_cbr,0.0056979475
idx_MOEXCH_rv_annualized_ma5,0.005694707
key_rate_cbr_diff22,0.0056918473
unemp_us_lag1,0.0055539156
fed_rate,0.005392765
unemp_us_diff1,0.005271301
yahoo_eem_ma5,0.0051089562
yahoo_treasury_5y_vol22,0.005030255
close_MOEXCH,0.004960723
yahoo_eem_ma22,0.004884719
idx_MOEXCN_rv_annualized_ma22,0.004745268
yahoo_sp500_vol22,0.0047393395
yahoo_gold_ret22,0.0047187875
rv_d,0.00448029
yahoo_dxy_ma22,0.004480062
idx_MOEXFN_rv_annualized_vol22,0.004431197
cpi_us_diff1,0.0042420966
cpi_ru_diff22,0.0042059445
gold,0.004188262
yahoo_dxy_ma5,0.004096666
idx_MOEXFN_rv_annualized_ma22,0.0040675052
yahoo_wti_lag1,0.004057833
yahoo_tbill_3m_ma22,0.0040093022
idx_RGBI_rv_annualized_ma22,0.003947815
idx_RGBI_rv_annualized_vol22,0.0038829371
yahoo_vix_ma22,0.003831614
yahoo_wti_ma5,0.0038072153
yahoo_brent_ma5,0.0038010385
yahoo_brent_vol22,0.0037675016
idx_IMOEX_rv_annualized_ma22,0.0036993152
close_MOEXOG,0.0036634244
unemp_us,0.003660915
idx_RVI_rv_annualized_ma5,0.0036433781
idx_MOEXFN_rv_annualized_ma5,0.003624716
idx_MOEXCH_rv_annualized_ma22,0.0036131714
cpi_ru_lag1,0.003597933
idx_CNYRUB_TOM_rv_annualized_ma5,0.0035919372
yahoo_wti_vol22,0.0035887568
pmi_ru_lag1,0.0035758773
dxy,0.0035702472
yahoo_tbill_3m_vol22,0.003541953
yahoo_dxy_lag1,0.0035100954
idx_MOEXOG_rv_annualized_vol22,0.003509364
yahoo_gold_ma5,0.0034404101
cpi_ru,0.0034281479
idx_RGBI_rv_annualized_ma5,0.003392649
brent,0.0033912722
fed_rate_diff22,0.0033777598
si_fut_lag1,0.003357823
yahoo_treasury_5y_ret22,0.0033568633
yahoo_wti_ret22,0.003338794
yahoo_dxy_vol22,0.0033369588
yahoo_treasury_5y_ma22,0.0033151347
yahoo_treasury_10y_ma22,0.0032726708
yahoo_treasury_5y_ma5,0.0032476217
idx_CNYRUB_TOM_rv_annualized_vol22,0.0032053883
yahoo_gold_vol22,0.0032002302
yahoo_sp500_ret22,0.0031901607
idx_MOEXMM_rv_annualized_vol22,0.0031457492
yahoo_brent_lag1,0.003142243
yahoo_eem_vol22,0.0031200117
yahoo_dxy_ret22,0.003113614
idx_RVI_rv_annualized_ma22,0.0030888629
si_fut,0.0030759003
yahoo_brent_ret5,0.0030522135
unemp_us_diff22,0.003031831
idx_MOEXOG_rv_annualized_ma22,0.0030311907
yahoo_tbill_3m_ma5,0.003021038
idx_MOEXEU_rv_annualized_vol22,0.0029385248
m2_ru_diff1,0.0029214285
yahoo_eem_ret22,0.0029172204
close_RGBI,0.0028429788
idx_RVI_rv_annualized_vol22,0.0028342365
close_IMOEX,0.0028195463
eem,0.0027970436
