Стратегия,Net Sharpe,Ann. Return (%),Ann. Vol (%),Max Drawdown (%),Экспозиция (%),Сделок/год,Win Rate (%)
S1 Mean Reversion,0.4897,3.28,3.42,-1.85,3.1,1.6,49.55
S2 Bollinger Bands,0.4274,3.2,3.0,-1.34,2.3,1.2,42.17
S3 Donchian Channel,0.7018,17.57,20.47,-15.68,41.1,4.7,51.53
S4 Supertrend,0.5836,15.4,15.09,-10.51,23.8,3.1,50.44
S5 Pivot Points,0.0148,0.05,0.18,-0.08,0.7,0.5,7.84
S6 VWAP,0.2404,1.08,1.66,-0.62,2.3,1.6,36.77
