time,close,Volume
1992-12-28,6500000000,
1993-01-25,7700000000,
1993-02-22,8400000000,
1993-03-29,9600000000,
1993-04-26,11800000000,
1993-05-31,14500000000,
1993-06-28,13800000000,
1993-07-26,19600000000,
1993-08-30,22300000000,
1993-09-27,22900000000,
1993-10-25,25800000000,
1993-11-29,28000000000,
1993-12-27,33200000000.000004,
1994-01-31,35500000000,
1994-02-28,37000000000,
1994-03-28,40300000000,
1994-04-25,47300000000,
1994-05-30,53700000000,
1994-06-27,60700000000,
1994-07-25,65700000000,
1994-08-29,72600000000,
1994-09-26,78600000000,
1994-10-31,82500000000,
1994-11-28,86600000000,
1994-12-26,97800000000,
1995-01-30,93500000000,
1995-02-27,101700000000,
1995-03-27,107200000000,
1995-04-24,123200000000,
1995-05-29,138200000000,
1995-06-26,156600000000,
1995-07-31,165000000000,
1995-08-28,173800000000,
1995-09-25,179700000000,
1995-10-30,184100000000,
1995-11-27,195100000000,
1995-12-25,220800000000,
1996-01-29,216700000000,
1996-02-26,229200000000,
1996-03-25,241700000000,
1996-04-29,251000000000,
1996-05-27,254200000000,
1996-06-24,266899999999.99997,
1996-07-29,271800000000,
1996-08-26,275300000000,
1996-09-30,276100000000,
1996-10-28,278800000000,
1996-11-25,282400000000,
1996-12-30,288300000000,
1997-01-27,289900000000,
1997-02-24,299500000000,
1997-03-31,305800000000,
1997-04-28,317800000000,
1997-05-26,328400000000,
1997-06-30,352000000000,
1997-07-28,363000000000,
1997-08-25,364600000000,
1997-09-29,363000000000,
1997-10-27,368800000000,
1997-11-24,357400000000,
1997-12-29,374100000000,
1998-01-26,364900000000,
1998-02-23,366900000000,
1998-03-30,364700000000,
1998-04-27,372600000000,
1998-05-25,375700000000,
1998-06-29,374500000000,
1998-07-27,365600000000,
1998-08-31,350500000000,
1998-09-28,374100000000,
1998-10-26,386900000000,
1998-11-30,407400000000,
1998-12-28,453700000000,
1999-01-25,450600000000,
1999-02-22,471300000000,
1999-03-29,482200000000,
1999-04-26,518799999999.99994,
1999-05-31,553700000000,
1999-06-28,581500000000,
1999-07-26,596000000000,
1999-08-30,605700000000,
1999-09-27,611900000000,
1999-10-25,639400000000,
1999-11-29,663500000000,
1999-12-27,714600000000,
2000-01-31,709600000000,
2000-02-28,742000000000,
2000-03-27,768400000000,
2000-04-24,802500000000,
2000-05-29,850100000000,
2000-06-26,905800000000,
2000-07-31,950500000000,
2000-08-28,977600000000,
2000-09-25,1008800000000,
2000-10-30,1016400000000,
2000-11-27,1054599999999.9999,
2000-12-25,1150600000000,
2001-01-29,1090000000000,
2001-02-26,1118500000000,
2001-03-26,1159600000000,
2001-04-30,1220500000000,
2001-05-28,1242600000000,
2001-06-25,1301300000000,
2001-07-30,1337400000000,
2001-08-27,1374500000000,
2001-09-24,1421500000000,
2001-10-29,1449800000000,
2001-11-26,1448200000000,
2001-12-31,1609400000000,
2002-01-28,1511200000000,
2002-02-25,1532800000000,
2002-03-25,1574100000000,
2002-04-29,1630700000000,
2002-05-27,1700200000000,
2002-06-24,1764100000000,
2002-07-29,1790200000000,
2002-08-26,1824300000000,
2002-09-30,1857400000000,
2002-10-28,1900000000000,
2002-11-25,1943900000000,
2002-12-30,2130600000000,
2003-01-27,2033300000000,
2003-02-24,2114100000000,
2003-03-31,2218400000000,
2003-04-28,2326100000000,
2003-05-26,2447300000000,
2003-06-30,2619300000000,
2003-07-28,2638300000000,
2003-08-25,2695400000000,
2003-09-29,2744100000000,
2003-10-27,2753600000000,
2003-11-24,2835200000000,
2003-12-29,3205200000000,
2004-01-26,3203300000000,
2004-02-23,3323500000000,
2004-03-29,3409700000000,
2004-04-26,3474200000000,
2004-05-31,3514900000000,
2004-06-28,3670900000000,
2004-07-26,3626700000000,
2004-08-30,3649800000000,
2004-09-27,3717500000000,
2004-10-25,3787700000000,
2004-11-29,3928500000000,
2004-12-27,4353899999999.9995,
2005-01-31,4179899999999.9995,
2005-02-28,4300600000000.0005,
2005-03-28,4462700000000,
2005-04-25,4577500000000,
2005-05-30,4677700000000,
2005-06-27,4915400000000,
2005-07-25,4974300000000,
2005-08-29,5118200000000,
2005-09-26,5274900000000,
2005-10-31,5296500000000,
2005-11-28,5417100000000,
2005-12-26,6032100000000,
2006-01-30,5822100000000,
2006-02-27,5899700000000,
2006-03-27,6148100000000,
2006-04-24,6333400000000,
2006-05-29,6663400000000,
2006-06-26,7057200000000,
2006-07-31,7199600000000,
2006-08-28,7417400000000,
2006-09-25,7727100000000,
2006-10-30,7743400000000,
2006-11-27,7974400000000,
2006-12-25,8970700000000,
2007-01-29,8674900000000,
2007-02-26,8873400000000,
2007-03-26,9381700000000,
2007-04-30,9964300000000,
2007-05-28,10673000000000,
2007-06-25,10827400000000,
2007-07-30,10888400000000,
2007-08-27,11128500000000,
2007-09-24,11461800000000,
2007-10-29,11382200000000,
2007-11-26,11756000000000,
2007-12-31,12869000000000,
2008-01-28,12509700000000,
2008-02-25,12662900000000,
2008-03-31,12973800000000,
2008-04-28,12944400000000,
2008-05-26,13312800000000,
2008-06-30,13841200000000,
2008-07-28,13842600000000,
2008-08-25,14196600000000,
2008-09-29,14045700000000,
2008-10-27,13173100000000,
2008-11-24,12839200000000,
2008-12-29,12975900000000,
2009-01-26,11430900000000,
2009-02-23,11465100000000,
