Portfolio,2022,2023,2024,2025,2026,Total,Ann,Sharpe
META-A,13.01528978879707,6.470330226631393,9.147173182532553,4.321658797127204,0.11787584071822899,37.17166407358623,6.52532832990298,1.7550544299350659
META-B,7.871437821732408,5.11531180771172,5.465017994964527,3.2850584123796933,0.15963980420425905,23.711802594297904,4.347542883478717,3.892746408916369
META-C,14.210275404889705,6.068448119640402,8.61295017526551,4.856146533459804,-0.10946570148911983,37.81333206972437,6.62480419851299,2.660798261511069
META-D,15.41162534842815,6.956105742023078,9.732237602401117,4.943899193706236,0.11714807910336855,42.316429899334175,7.3126718864855444,3.043717012603619
META-BEST,11.721922743264578,6.091048863542992,8.642496430979474,4.697448655755565,0.03758716367348036,34.87025783264323,6.16545797605017,3.876865787776321
META-MEAN(BCD),12.460663709253627,6.045904096300125,7.92966636507233,4.364120141614314,0.05577325183188098,34.40912212426657,6.092760292544552,3.2718980218810647
IMOEX B&H,-43.12194040018371,43.868958089613926,-6.9720016391802915,-4.038098673622448,,-26.949298437392656,-6.087180744002896,-0.12
