Method,Mean_Sharpe,Mean_Return%,Mean_MDD%,Wins_Best
EW,2.3905958333333337,7.1625000000000005,-2.7720833333333332,11
InvVol,1.8391541666666669,4.91125,-2.39125,1
MinVar,2.3877833333333336,6.779583333333334,-2.62625,12
MaxSharpe,1.8516583333333336,6.600416666666667,-3.8579166666666667,0
