,S1,S2,S3,S4,S5,S6
S1,1.0,0.578611040177799,-0.16801479280262688,-0.13001395287137202,0.156739301712949,0.1322293736612066
S2,0.578611040177799,1.0,-0.056126321743506555,-0.043871096804542924,0.15630073456673657,0.10817120830921567
S3,-0.16801479280262688,-0.056126321743506555,1.0,0.7900280883008574,-0.01932910519751206,-0.15901256621654714
S4,-0.13001395287137202,-0.043871096804542924,0.7900280883008574,1.0,-0.010714180766247838,-0.16265739127654605
S5,0.156739301712949,0.15630073456673657,-0.01932910519751206,-0.010714180766247838,1.0,0.16819753724347736
S6,0.1322293736612066,0.10817120830921567,-0.15901256621654714,-0.16265739127654605,0.16819753724347736,1.0
