,S1,S2,S3,S4,S5,S6
S1,1.0,0.6634150596170311,-0.23563498321867604,-0.1578585281949848,0.19899773527318354,0.1612480604490622
S2,0.6634150596170311,1.0,-0.21401026144312285,-0.108505185566389,0.18499066380336038,0.19770974451581033
S3,-0.23563498321867604,-0.21401026144312285,1.0,0.8626206000357338,-0.10221845599847194,-0.15358228435587643
S4,-0.1578585281949848,-0.108505185566389,0.8626206000357338,1.0,-0.03408721103623127,-0.1429527565639038
S5,0.19899773527318354,0.18499066380336038,-0.10221845599847194,-0.03408721103623127,1.0,0.2134840720741351
S6,0.1612480604490622,0.19770974451581033,-0.15358228435587643,-0.1429527565639038,0.2134840720741351,1.0
