strategy,A,B,C,D,best_app
S1_MeanRev,2.58,2.709,3.2466,3.2404,C
S2_Bollinger,2.5623,2.546,3.5256,3.0699,C
S3_Donchian,1.0553,2.166,1.655,1.8499,B
S4_Supertrend,1.2677,2.059,1.8916,2.4578,D
S5_PivotPoints,1.6892,1.9854,2.0018,1.6947,C
S6_VWAP,2.7553,2.9295,3.1029,3.3334,D
