strategy,timeframe,category,ticker,sharpe,ann_return_pct,ann_vol_pct,max_dd_pct,calmar,win_rate_pct,profit_factor,payoff_ratio,exposure_pct,turnover,avg_trade_bars,n_trades
S6_VWAP,hourly,Range,IRAO,0.6245,1.9,3.04,-5.0,0.3792,53.1,1.243,1.025,3.26,63.7,2.4,159
S6_VWAP,hourly,Range,LKOH,-0.083,-0.33,3.96,-6.49,-0.0507,50.0,0.951,0.903,2.33,32.9,3.3,84
S6_VWAP,hourly,Range,LSRG,-0.4548,-3.9,8.58,-30.75,-0.1268,49.6,0.68,0.616,2.38,30.8,3.6,78
S6_VWAP,hourly,Range,MGNT,-0.7198,-1.73,2.4,-11.77,-0.1471,44.3,0.587,0.675,0.89,10.9,3.8,28
S6_VWAP,hourly,Range,MOEX,0.2148,0.69,3.22,-4.52,0.153,52.0,1.077,0.975,3.44,50.4,3.4,121
S6_VWAP,hourly,Range,MTLR,-1.0232,-4.06,3.97,-24.32,-0.167,47.8,0.473,0.509,1.15,15.7,3.3,41
S6_VWAP,hourly,Range,MTSS,0.5041,3.7,7.33,-16.22,0.2278,47.8,1.125,1.112,10.5,177.7,2.8,448
S6_VWAP,hourly,Range,NVTK,0.4171,1.27,3.05,-4.23,0.3008,49.6,1.315,1.177,1.14,25.9,2.0,67
S6_VWAP,hourly,Range,OGKB,0.1402,0.75,5.38,-13.24,0.057,51.6,1.033,0.929,7.34,99.9,3.6,242
S6_VWAP,hourly,Range,PHOR,0.3072,1.36,4.41,-7.43,0.1824,50.5,1.109,1.037,4.39,60.4,3.3,155
S6_VWAP,hourly,Range,RTKM,0.9682,11.61,11.99,-13.37,0.8682,51.4,1.15,1.011,24.85,238.0,5.0,591
S6_VWAP,hourly,Range,SBER,-0.6906,-1.39,2.01,-7.69,-0.1808,43.5,0.638,0.795,1.11,20.3,2.5,52
S6_VWAP,hourly,Range,TATN,0.1412,0.43,3.04,-5.5,0.0781,51.7,1.075,0.968,1.49,31.4,2.2,81
S6_VWAP,hourly,Range,VTBR,-0.0884,-0.39,4.45,-11.29,-0.0348,48.6,0.97,0.927,3.92,35.5,5.0,92
