strategy,timeframe,category,ticker,sharpe,annual_return,annual_vol,max_drawdown,calmar,win_rate,profit_factor,payoff_ratio,exposure,turnover,avg_trade_bars,n_trades,sl_exit_pct,tp_exit_pct,signal_exit_pct,trailing_exit_pct,max_hold_exit_pct,adx_breakout_exit_pct
S8_RSI_Stoch,daily,Range,TATN,0.9952809466770572,0.03194018180841445,0.032091623892784325,-0.02639172969122633,1.210234500811542,0.6666666666666666,3.796846079335617,1.7085807357010276,0.018844221105527637,2.532663316582915,3.75,8,12.5,75.0,0.0,0.0,0.0,12.5
S6_DualMA,hourly,Trend,NVTK,1.0806530935129195,0.11070030457520773,0.10243833589126193,-0.10902239927417913,1.0153904639064937,0.5020080321285141,1.2701466990450454,1.199018483898523,0.08720319394830847,45.27421727253625,8.767605633802816,142,0.0,0.0,0.6,99.4,0.0,0.0
S4_Donchian,hourly,Trend,TATN,1.397259785683547,0.2961610896687101,0.21195850099115712,-0.31423884774633226,0.9424712819332403,0.496,1.1994031481359508,1.1684508088292165,0.30605106680657573,122.16579223504722,11.422976501305483,383,0.0,0.0,0.0,100.0,0.0,0.0
S6_DualMA,daily,Trend,LKOH,0.5435828650139706,0.06024165046133096,0.11082330650687951,-0.06916432919371854,0.8709930561547624,0.574468085106383,2.865292168032191,2.122438642986808,0.029485570890840654,2.213299874529486,6.714285714285714,7,0.0,0.0,0.0,100.0,0.0,0.0
S6_DualMA,hourly,Trend,AFLT,0.882681157539477,0.08592048451365301,0.09734034059723352,-0.10289034932981045,0.8350684497944381,0.4886251236399604,1.2645605995963083,1.22616301053974,0.07063508698386083,44.05114231817229,7.273381294964029,139,0.0,0.0,0.0,100.0,0.0,0.0
S3_RSI_Reversion,daily,Contrarian,TATN,0.682256838460351,0.02583391258320173,0.037865377269799334,-0.03182979903860486,0.8116266317568954,0.5428571428571428,2.2887552223495558,1.806912017644386,0.02198492462311558,1.899497487437186,5.833333333333333,6,16.7,50.0,0.0,0.0,33.3,0.0
S7_Keltner,daily,Range,IRAO,0.7549113914993205,0.06481201037504121,0.08585379834621235,-0.08140764307049837,0.7961415897880071,0.5170454545454546,1.5674404325757862,1.4640927117466136,0.11055276381909548,10.447236180904524,5.333333333333333,33,42.2,48.9,4.4,0.0,4.4,0.0
S5_Supertrend,daily,Trend,MTSS,0.7622646922166841,0.08673337348205008,0.11378380025687317,-0.11246872018761861,0.7711777402406891,0.5291970802919708,1.4451724630158191,1.2558050368275393,0.17200251098556182,6.6440677966101696,13.047619047619047,21,0.0,0.0,0.0,100.0,0.0,0.0
S8_RSI_Stoch,daily,Range,IRAO,0.5068453211740175,0.018482460573051362,0.036465682528626316,-0.0280363278221923,0.6592325746177599,0.5555555555555556,2.880926939750631,2.3047415518005048,0.011306532663316583,1.899497487437186,3.0,6,50.0,50.0,0.0,0.0,0.0,0.0
S8_RSI_Stoch,hourly,Range,HYDR,0.7281344992154616,0.036465414601026466,0.05008060274621876,-0.055582766807732165,0.6560561248626747,0.5040650406504065,1.5800563768190536,1.4653748655983159,0.017187172500523998,17.43030811150702,4.472727272727273,55,38.6,48.6,0.0,0.0,1.4,11.4
