strategy,timeframe,total_trades,avg_trade_bars,trade_win_rate,avg_win_ret,avg_loss_ret,payoff_ratio,exposure,win_trades,loss_trades
S1_MA_Reversion,daily,987,9.2806484295846,0.547112462006079,0.034692029123979395,-0.06132767237239409,0.5656831212070522,0.3384444854978755,540,447
S1_MA_Reversion,hourly,8898,9.462800629354911,0.5966509327938863,0.011410914815255026,-0.02039203843121709,0.5595769571415999,0.3464222236850767,5309,3589
S2_Bollinger,daily,626,11.039936102236421,0.5111821086261981,0.050266057295168774,-0.06695146328835343,0.7507835501470336,0.25534823572880105,320,306
S2_Bollinger,hourly,5222,12.2106472615856,0.5499808502489467,0.016566178460197353,-0.02543817922787073,0.6512328697663635,0.2623428345731025,2872,2350
S3_RSI_Reversion,daily,336,10.50297619047619,0.5595238095238095,0.05252305993962272,-0.058529953839330046,0.897370602474815,0.13038980232772954,188,148
S3_RSI_Reversion,hourly,2689,15.61732986240238,0.5422089996281145,0.018633402149691027,-0.028749070341432627,0.6481392938413356,0.17277911263247975,1458,1231
S4_Donchian,daily,631,17.700475435816166,0.4294770206022187,0.08277032836992733,-0.056275910504901425,1.470795010286299,0.4126731941622021,271,360
S4_Donchian,hourly,5331,19.2870005627462,0.4087413243293941,0.029308658309320314,-0.016958132571350912,1.7282951519576155,0.4230259693239418,2179,3152
S5_Supertrend,daily,355,15.743661971830987,0.4619718309859155,0.08611117655012054,-0.060958330686137374,1.4126236001029997,0.20650286347681507,164,191
S5_Supertrend,hourly,3506,16.609241300627495,0.4412435824301198,0.02429284086509418,-0.019245059385847117,1.2622897325512656,0.2395826476203015,1547,1959
S6_DualMA,daily,116,17.689655172413794,0.5,0.08764821381996617,-0.07096732271339873,1.2350503086319482,0.07581747644559395,58,58
S6_DualMA,hourly,2331,14.824967824967825,0.4568854568854569,0.024735863920075755,-0.016249771582023922,1.5222284076558623,0.14217711144756764,1065,1266
S7_Keltner,daily,704,7.737215909090909,0.5,0.03480371144298234,-0.05036789694985337,0.6909899668360813,0.20125623498983927,352,352
S7_Keltner,hourly,5954,9.805844810211623,0.5707087672153174,0.011514196977068772,-0.019449112316772363,0.5920165809901389,0.2402080179053387,3398,2556
S8_RSI_Stoch,daily,353,6.895184135977337,0.5212464589235127,0.039154091873649904,-0.049582616394041226,0.7896737752297274,0.08993164603731757,184,169
S8_RSI_Stoch,hourly,2760,9.843840579710145,0.4851449275362319,0.015120417776735933,-0.018282508954321357,0.8270428207919452,0.11178082417220722,1339,1421
