strategy,timeframe,category,sharpe_median,sharpe_mean,annual_return_median,annual_return_mean,annual_vol_median,annual_vol_mean,max_drawdown_median,max_drawdown_mean,calmar_median,calmar_mean,win_rate_median,win_rate_mean,profit_factor_median,profit_factor_mean,exposure_median,exposure_mean,turnover_median,turnover_mean,avg_trade_bars_median,avg_trade_bars_mean,selected,rank
S6_DualMA,hourly,Trend,0.4937383195271546,0.4572779880379607,0.051075378077766125,0.0538375530442512,0.11294723150130855,0.11159072927261067,-0.22870367386494397,-0.261927057827051,0.21719435298546302,0.29766072435212504,0.4918642491864249,0.48961830505364595,1.1050576846035642,1.0893664060235093,0.14127017396772165,0.14217805442499953,44.899895068205666,44.6108064336561,14.715328467153284,14.841852180889095,True,1
S4_Donchian,hourly,Trend,0.3914891987334274,0.3388160419436128,0.1012275240783043,0.09718521037260086,0.24357454251347999,0.25621079173068023,-0.4961987216699696,-0.5595405011343737,0.1918043538768855,0.23885039867894897,0.4862062906343349,0.486500650512158,1.0432143446138635,1.0422609788746204,0.43453337993708496,0.42301128347180555,106.0672492135617,105.22370637362962,19.366568914956012,19.276974156837415,False,2
S4_Donchian,daily,Trend,0.17105584016484915,0.04779325387162196,0.03637589833493327,0.020191952448622864,0.24769783065578097,0.25527384346608895,-0.5746884769894319,-0.6292941999238292,0.07188171781786991,0.08724956699405681,0.4892703862660944,0.4934941355437733,1.0597931534956357,1.0202988687917252,0.4071518193224592,0.41266339047818007,11.856963613550816,12.084568077262153,17.475,17.881883509625588,False,3
S3_RSI_Reversion,daily,Contrarian,0.11794878376678987,0.11161528819230163,0.03139234008011113,0.011283648742491117,0.16625248110042218,0.18399236049300657,-0.40087531232839096,-0.4293351362206777,0.063008012181993,0.11836827471079578,0.5019011406844106,0.5059667324898179,1.1035009125809534,1.0888521929034287,0.12468513853904283,0.13039263345868674,6.030226700251889,6.18263169895923,10.5,10.455514104527014,False,4
S5_Supertrend,hourly,Trend,0.046577416664531676,0.0016312408736426725,0.006208588804321938,-0.0011328898862913068,0.17722980497024438,0.17968407737112554,-0.5315303762942035,-0.5548815576720444,0.01031564622645262,0.026238003077223654,0.48349459305634607,0.48313113296897836,1.006204022962279,0.9972451518062843,0.24015389996502273,0.2395771064301865,70.98889121777405,70.64507519187346,16.183962264150942,16.64145782869418,False,5
S5_Supertrend,daily,Trend,0.04262256412579652,0.15448958055210463,0.008870847559914637,0.023083155366911606,0.15019759788668638,0.1592849791553315,-0.26923141982451076,-0.3568384361563345,0.013948226640942899,0.15674120931238625,0.4942084942084942,0.4983870496096549,1.0237536154389395,1.0764170448221644,0.2051442910915935,0.2064815891773772,7.11417816813049,7.019668272321425,14.863636363636363,15.7886042983976,True,6
S6_DualMA,daily,Trend,-0.008507826166888726,0.0845374936139655,-0.0009008678215414849,0.008991515323293004,0.08306652175706111,0.08455789518367643,-0.2279855925757989,-0.23839291306427124,-0.003000932600178924,0.07130823080375083,0.48214285714285715,0.4848650613369459,0.9945990176967627,1.0610824967265078,0.07600502512562814,0.0758073744943753,2.213299874529486,2.178648411004946,17.857142857142858,17.420168067226893,False,7
S2_Bollinger,daily,Contrarian,-0.1728295590166472,-0.14461993953209545,-0.04398386330653703,-0.04097218321983867,0.24702045736465933,0.25616868848885505,-0.7731215877911799,-0.7365517047776342,-0.05244750037739675,-0.030625140136707148,0.5,0.49968779087877807,0.9275510899801834,0.9445458857321908,0.2537878787878788,0.255357439158038,11.569811320754717,11.5919442917066,11.051282051282051,11.067363280679658,False,8
S8_RSI_Stoch,daily,Range,-0.19198101570348694,-0.06452482503062394,-0.016958363050653232,-0.010926595737028859,0.10345190237272,0.11294402632746481,-0.2775371791355139,-0.30520734977319325,-0.07039019708932115,0.037282232217978,0.504,0.5002862645614862,0.8829714687813011,0.9893093125034028,0.09170854271356783,0.08993740964739398,6.49811320754717,6.536585292522426,6.7894736842105265,6.9319585023076264,False,9
S3_RSI_Reversion,hourly,Contrarian,-0.2048495738207664,-0.2546648132921268,-0.047036955200595684,-0.07676322098951982,0.23018032996409138,0.24139660497769863,-0.7144690266004103,-0.8388924276013081,-0.07209941628211809,-0.018278145285001365,0.48713774014978833,0.4887177242329496,0.9474980622252959,0.9496802145814184,0.17349583245779926,0.17277370943609588,50.70635086983861,50.14478453578746,15.722222222222221,15.590054570818117,False,10
S7_Keltner,daily,Range,-0.30591184765579527,-0.340745805949334,-0.04018124114637554,-0.050986871007866086,0.1450553039571627,0.15638486590778133,-0.6055822900574254,-0.6055805859299176,-0.08836689119326868,-0.06444865356879236,0.48742138364779874,0.4894097850799934,0.8830080230560899,0.8664228030089116,0.2,0.20126746354111377,12.805520702634881,13.054057247544577,7.666666666666667,7.759619055230527,False,11
S1_MA_Reversion,daily,Contrarian,-0.31007504113650214,-0.2754693557487173,-0.09250493076130839,-0.08079150594332607,0.25859130967903854,0.2668868337488307,-0.8152430475016239,-0.9175910356777925,-0.09363184014840994,-0.058884068218455474,0.5019083969465649,0.49511823629315294,0.8824448876209072,0.9077155945330205,0.34190715181932246,0.33844993362924386,18.72544080604534,18.333219113612596,9.142857142857142,9.314341850925953,False,12
S2_Bollinger,hourly,Contrarian,-0.4241230340409036,-0.4131469592687415,-0.10851762212923101,-0.11388521023976401,0.24765320878868818,0.2604036465821911,-0.9639598036615235,-1.0816896224880101,-0.12857161798030034,-0.06853476835322808,0.4916042366313614,0.4919278756319565,0.9286244349989197,0.9382282573322139,0.26130091525186894,0.26233753267545423,98.40201215678054,97.83616577408702,12.224683544303797,12.205416773776394,False,13
S1_MA_Reversion,hourly,Contrarian,-0.4468890702078633,-0.43515421935866105,-0.12499073866539104,-0.11765095013926255,0.2512363982663972,0.25036549279041254,-0.886446265699966,-1.1196754238382138,-0.12447196795593168,-0.04822504208332318,0.49273763559477846,0.49329540642942943,0.9379746742471671,0.9453477454437594,0.34646824565080697,0.34641710448101376,166.74837355718782,166.98911534389765,9.427756653992395,9.46125895262113,False,14
S8_RSI_Stoch,hourly,Range,-0.44721043353130685,-0.43506178949130614,-0.04849037133665731,-0.05349780901808188,0.10945783162985903,0.11276121218815034,-0.5386480146218456,-0.5075937331574125,-0.09221797287130741,-0.06537956135376108,0.4861910241657077,0.48698634230248766,0.9101873180306409,0.917161202150567,0.1123312583059383,0.11177072525877148,52.03217458208015,51.47645993697444,9.792682926829269,9.831154625654781,False,15
S7_Keltner,hourly,Range,-0.8537666114059009,-0.6209278631545699,-0.12400500239801993,-0.09878372786825633,0.149984587987783,0.15299431869717783,-0.8748253998811599,-0.8370199588542077,-0.13218723806686253,-0.08747678180126454,0.4867567567567568,0.488657492395985,0.8921473172716662,0.916831519837878,0.24113326337880378,0.24019236507386513,112.50471599245441,112.21162979087786,9.785714285714286,9.823571118883258,False,16
