strategy,timeframe,category,ticker,sharpe,ann_return_pct,ann_vol_pct,max_dd_pct,calmar,win_rate_pct,profit_factor,payoff_ratio,exposure_pct,turnover,avg_trade_bars,n_trades
S5_PivotPoints,daily,Range,PHOR,-0.0068,-0.06,9.06,-13.58,-0.0045,53.9,0.997,0.843,13.86,30.2,2.7,71
S5_PivotPoints,daily,Range,RTKM,0.096,1.55,16.11,-33.39,0.0463,50.2,1.039,1.026,22.02,52.2,2.5,122
S5_PivotPoints,daily,Range,SBER,-0.1301,-1.18,9.07,-27.29,-0.0432,54.6,0.946,0.773,18.65,36.2,3.2,80
S5_PivotPoints,daily,Range,TATN,-0.282,-1.85,6.58,-23.36,-0.0794,48.0,0.847,0.905,8.84,19.4,2.7,45
S5_PivotPoints,daily,Range,VTBR,0.0571,0.48,8.35,-12.68,0.0376,56.7,1.036,0.777,9.64,22.3,2.5,53
S5_PivotPoints,hourly,Range,AFLT,-0.2455,-2.13,8.69,-25.03,-0.0852,50.3,0.944,0.86,8.67,74.6,5.4,225
S5_PivotPoints,hourly,Range,ALRS,-0.9989,-10.14,10.15,-74.06,-0.1369,47.9,0.803,0.835,9.65,85.3,5.3,259
S5_PivotPoints,hourly,Range,HYDR,0.2025,0.93,4.58,-4.9,0.1893,52.5,1.064,0.926,4.58,47.4,4.5,143
S5_PivotPoints,hourly,Range,IRAO,-0.2407,-1.0,4.17,-13.07,-0.0767,49.6,0.937,0.915,5.57,60.0,4.3,184
S5_PivotPoints,hourly,Range,LKOH,-1.196,-6.93,5.8,-45.43,-0.1526,45.7,0.69,0.797,5.38,50.8,4.9,155
S5_PivotPoints,hourly,Range,LSRG,-0.1799,-1.15,6.4,-26.06,-0.0442,45.9,0.948,1.004,6.01,60.6,4.6,183
S5_PivotPoints,hourly,Range,MGNT,-0.717,-4.9,6.84,-36.03,-0.1361,47.1,0.844,0.917,6.98,63.8,5.1,195
S5_PivotPoints,hourly,Range,MOEX,-0.4854,-4.14,8.53,-41.68,-0.0994,47.5,0.874,0.949,8.18,70.7,5.5,211
S5_PivotPoints,hourly,Range,MTLR,-0.4731,-1.96,4.14,-14.32,-0.1368,48.4,0.804,0.816,2.05,21.2,4.4,66
S5_PivotPoints,hourly,Range,MTSS,0.7122,7.37,10.35,-19.14,0.3852,50.3,1.148,1.085,14.6,137.4,5.0,415
S5_PivotPoints,hourly,Range,NVTK,-0.5709,-4.46,7.81,-33.16,-0.1344,48.6,0.867,0.889,6.36,61.4,4.8,187
S5_PivotPoints,hourly,Range,OGKB,0.0517,0.53,10.24,-26.7,0.0198,48.3,1.02,1.039,6.3,65.6,4.4,200
S5_PivotPoints,hourly,Range,PHOR,-0.2245,-1.93,8.61,-39.79,-0.0486,50.4,0.96,0.888,12.93,102.7,5.9,309
S5_PivotPoints,hourly,Range,RTKM,0.2775,2.35,8.46,-26.09,0.09,49.6,1.056,1.02,11.76,105.4,5.2,322
S5_PivotPoints,hourly,Range,SBER,-0.8915,-6.85,7.68,-50.85,-0.1347,51.1,0.832,0.781,11.9,96.3,5.9,286
S5_PivotPoints,hourly,Range,TATN,0.1801,0.92,5.12,-11.96,0.0772,47.5,1.056,1.09,4.6,46.0,4.6,140
S5_PivotPoints,hourly,Range,VTBR,-1.1661,-5.57,4.77,-38.27,-0.1454,48.7,0.689,0.692,4.42,42.5,4.8,130
S6_VWAP,daily,Range,AFLT,-0.6316,-4.86,7.7,-33.62,-0.1446,44.8,0.534,0.636,4.16,7.2,2.9,20
S6_VWAP,daily,Range,ALRS,0.7122,4.67,6.56,-6.59,0.7093,62.3,1.929,1.169,3.8,5.1,3.8,14
S6_VWAP,daily,Range,HYDR,-0.2106,-1.66,7.9,-23.9,-0.0696,52.1,0.888,0.816,10.19,12.5,4.2,34
S6_VWAP,daily,Range,IRAO,-0.4417,-2.43,5.51,-21.22,-0.1146,45.5,0.754,0.871,7.11,9.1,4.0,25
S6_VWAP,daily,Range,LKOH,0.2591,1.24,4.77,-10.84,0.1141,50.0,1.231,1.231,4.16,8.3,2.5,23
S6_VWAP,daily,Range,LSRG,0.1903,0.92,4.85,-6.76,0.1365,52.3,1.182,1.008,4.7,6.9,3.4,19
S6_VWAP,daily,Range,MGNT,-0.7927,-5.22,6.59,-32.04,-0.163,48.9,0.562,0.588,6.31,9.0,3.5,25
S6_VWAP,daily,Range,MOEX,0.1012,0.64,6.33,-10.22,0.0627,48.0,1.069,1.136,7.17,9.6,3.8,26
S6_VWAP,daily,Range,MTLR,-0.3554,-3.62,10.19,-31.92,-0.1134,48.4,0.773,0.825,6.54,7.1,4.8,19
S6_VWAP,daily,Range,MTSS,-0.4897,-1.87,3.82,-12.25,-0.1526,41.9,0.629,0.874,3.09,3.3,4.8,9
S6_VWAP,daily,Range,NVTK,-0.5291,-2.71,5.13,-24.56,-0.1105,46.0,0.62,0.727,3.6,4.4,4.2,12
S6_VWAP,daily,Range,OGKB,-0.0989,-0.4,4.05,-12.0,-0.0334,50.8,0.922,0.863,4.39,6.4,3.6,17
S6_VWAP,daily,Range,PHOR,-0.1881,-1.0,5.31,-11.22,-0.089,48.5,0.882,0.936,7.26,8.7,4.4,23
S6_VWAP,daily,Range,RTKM,0.0205,0.13,6.21,-15.4,0.0083,58.1,1.018,0.736,4.45,7.2,3.3,19
S6_VWAP,daily,Range,SBER,-0.4002,-2.24,5.59,-20.09,-0.1113,53.1,0.694,0.612,4.59,5.8,4.0,16
S6_VWAP,daily,Range,TATN,-0.4742,-4.89,10.3,-29.68,-0.1646,36.7,0.639,1.1,7.04,6.2,5.8,17
S6_VWAP,daily,Range,VTBR,-0.0181,-0.16,8.61,-22.44,-0.0069,53.8,0.99,0.848,10.29,14.9,3.7,39
S6_VWAP,hourly,Range,AFLT,-0.0031,-0.01,4.42,-11.5,-0.0012,50.9,0.999,0.819,2.67,31.6,3.9,82
S6_VWAP,hourly,Range,ALRS,-0.6295,-2.54,4.04,-17.01,-0.1495,48.4,0.776,0.792,2.44,31.8,3.5,82
S6_VWAP,hourly,Range,HYDR,0.5593,2.28,4.07,-5.43,0.4195,54.1,1.167,0.933,5.59,72.6,3.6,183
S6_VWAP,hourly,Range,IRAO,0.033,0.11,3.4,-7.16,0.0157,52.1,1.011,0.859,4.01,53.5,3.4,138
S6_VWAP,hourly,Range,LKOH,0.1753,0.37,2.08,-5.52,0.0662,57.9,1.094,0.743,1.5,19.3,3.6,50
S6_VWAP,hourly,Range,LSRG,0.1358,0.78,5.74,-11.27,0.0691,47.4,1.04,1.009,6.06,64.2,4.4,162
