Rank,Strategy,Category,Sharpe,AnnRet,AnnVol,MaxDD,Calmar,WinRate,PF,Exposure,Turnover,AvgTrade
1,S4_Donchian,Trend,0.1710558401648491,0.0363758983349332,0.2476978306557809,-0.5746884769894319,0.0718817178178699,0.4892703862660944,1.0597931534956355,0.4071518193224592,11.856963613550816,17.475
2,S3_RSI_Reversion,Contrarian,0.1179487837667898,0.0313923400801111,0.1662524811004221,-0.4008753123283909,0.063008012181993,0.5019011406844106,1.1035009125809534,0.1246851385390428,6.030226700251889,10.5
3,S5_Supertrend,Trend,0.0426225641257965,0.0088708475599146,0.1501975978866863,-0.2692314198245107,0.0139482266409428,0.4942084942084942,1.0237536154389395,0.2051442910915935,7.11417816813049,14.863636363636363
4,S6_DualMA,Trend,-0.0085078261668887,-0.0009008678215414,0.0830665217570611,-0.2279855925757989,-0.0030009326001789,0.4821428571428571,0.9945990176967628,0.0760050251256281,2.213299874529486,17.857142857142858
5,S2_Bollinger,Contrarian,-0.1728295590166472,-0.043983863306537,0.2470204573646593,-0.7731215877911799,-0.0524475003773967,0.5,0.9275510899801834,0.2537878787878788,11.569811320754717,11.051282051282053
6,S8_RSI_Stoch,Range,-0.1919810157034869,-0.0169583630506532,0.10345190237272,-0.2775371791355139,-0.0703901970893211,0.504,0.8829714687813011,0.0917085427135678,6.49811320754717,6.7894736842105265
7,S7_Keltner,Range,-0.3059118476557952,-0.0401812411463755,0.1450553039571627,-0.6055822900574254,-0.0883668911932686,0.4874213836477987,0.8830080230560899,0.2,12.80552070263488,7.666666666666667
8,S1_MA_Reversion,Contrarian,-0.3100750411365021,-0.0925049307613083,0.2585913096790385,-0.8152430475016239,-0.0936318401484099,0.5019083969465649,0.8824448876209072,0.3419071518193224,18.72544080604534,9.142857142857142
