strategy,timeframe,category,positive_tickers,total_tickers,positive_pct
S1_MA_Reversion,daily,Contrarian,12,17,70.6
S4_Donchian,daily,Trend,9,17,52.9
S5_Supertrend,daily,Trend,8,17,47.1
S6_DualMA,daily,Trend,8,17,47.1
S2_Bollinger,daily,Contrarian,7,17,41.2
S7_Keltner,daily,Range,5,17,29.4
S3_RSI_Reversion,daily,Contrarian,1,17,5.9
S8_RSI_Stoch,daily,Range,0,17,0.0
S6_DualMA,hourly,Trend,14,17,82.4
S4_Donchian,hourly,Trend,13,17,76.5
S5_Supertrend,hourly,Trend,11,17,64.7
S3_RSI_Reversion,hourly,Contrarian,9,17,52.9
S2_Bollinger,hourly,Contrarian,8,17,47.1
S7_Keltner,hourly,Range,7,17,41.2
S1_MA_Reversion,hourly,Contrarian,4,17,23.5
S8_RSI_Stoch,hourly,Range,0,17,0.0
