strategy,timeframe,ticker,p_ma_window,p_z_entry,p_z_exit,p_max_hold,p_sl_mult,p_tp_mult,p_rsi_long,p_rsi_short,p_vol_regime_thresh,p_consec_candles,sharpe_train,sharpe_test,p_dc_window,p_initial_sl_mult,p_trail_n,p_trail_atr_mult,p_breakeven_thresh,p_adx_thresh,p_vol_confirm,p_atr_period,p_multiplier,p_fast_window,p_slow_window
S5_Supertrend,hourly,MTLR,,,,,,,,,,,0.9109,-0.0016,,2.0,25.0,2.0,1.5,25.0,,20.0,3.0,,
S6_DualMA,hourly,MTLR,,,,,,,,,,,1.9709,0.518,,2.0,20.0,2.0,1.0,15.0,,,,20.0,60.0
S1_MA_Reversion,daily,MTSS,20.0,1.5,0.3,15.0,2.0,1.5,35.0,60.0,1.0,3.0,0.6151,-0.6756,,,,,,,,,,,
S4_Donchian,daily,MTSS,,,,,,,,,,,0.8765,0.2524,10.0,2.0,15.0,3.0,1.0,15.0,0.8,,,,
S4_Donchian,hourly,MTSS,,,,,,,,,,,-0.4406,0.4008,20.0,2.5,20.0,2.5,1.5,20.0,1.0,,,,
S5_Supertrend,hourly,MTSS,,,,,,,,,,,0.5732,0.3881,,2.0,10.0,3.0,1.5,25.0,,10.0,3.0,,
S6_DualMA,hourly,MTSS,,,,,,,,,,,1.0818,0.3026,,2.0,20.0,2.0,1.0,15.0,,,,25.0,100.0
S1_MA_Reversion,daily,NVTK,25.0,2.5,0.3,10.0,1.0,2.0,35.0,55.0,1.2,4.0,0.9618,0.0,,,,,,,,,,,
S4_Donchian,daily,NVTK,,,,,,,,,,,0.6144,0.2271,10.0,2.0,20.0,2.0,1.5,15.0,1.2,,,,
S4_Donchian,hourly,NVTK,,,,,,,,,,,1.7981,1.1301,10.0,2.0,25.0,3.0,2.0,15.0,1.0,,,,
S5_Supertrend,hourly,NVTK,,,,,,,,,,,2.2018,0.6372,,2.0,10.0,3.0,1.0,15.0,,10.0,2.5,,
S6_DualMA,hourly,NVTK,,,,,,,,,,,2.5526,0.5532,,2.5,10.0,3.0,1.0,15.0,,,,25.0,100.0
S1_MA_Reversion,daily,OGKB,25.0,2.0,0.3,15.0,2.0,1.5,40.0,55.0,1.0,2.0,1.447,-0.4172,,,,,,,,,,,
S4_Donchian,daily,OGKB,,,,,,,,,,,0.4396,0.0152,15.0,2.0,20.0,2.5,1.0,15.0,0.8,,,,
S4_Donchian,hourly,OGKB,,,,,,,,,,,0.6514,-0.0162,25.0,2.0,15.0,3.0,2.0,20.0,0.8,,,,
S5_Supertrend,hourly,OGKB,,,,,,,,,,,0.6297,-0.6511,,2.0,20.0,2.5,1.5,20.0,,20.0,2.0,,
S6_DualMA,hourly,OGKB,,,,,,,,,,,1.7274,0.6603,,2.0,10.0,3.0,1.0,10.0,,,,10.0,80.0
S1_MA_Reversion,daily,PHOR,25.0,2.0,0.3,20.0,2.0,2.0,45.0,65.0,1.2,2.0,0.3519,0.8641,,,,,,,,,,,
S4_Donchian,daily,PHOR,,,,,,,,,,,1.4694,-0.0026,15.0,2.5,10.0,3.0,2.0,15.0,0.8,,,,
S4_Donchian,hourly,PHOR,,,,,,,,,,,0.6786,0.0564,10.0,2.0,10.0,2.0,1.0,15.0,1.2,,,,
S5_Supertrend,hourly,PHOR,,,,,,,,,,,1.1446,0.0106,,2.0,25.0,2.0,1.0,20.0,,14.0,2.0,,
S6_DualMA,hourly,PHOR,,,,,,,,,,,0.9692,0.025,,2.0,10.0,2.0,1.0,10.0,,,,25.0,60.0
S1_MA_Reversion,daily,RTKM,20.0,2.0,0.5,15.0,1.5,1.5,40.0,55.0,1.0,2.0,1.1851,0.2463,,,,,,,,,,,
S4_Donchian,daily,RTKM,,,,,,,,,,,0.2365,-0.5578,30.0,2.0,10.0,2.0,2.0,25.0,0.8,,,,
S4_Donchian,hourly,RTKM,,,,,,,,,,,-1.2551,0.6716,20.0,2.5,20.0,2.5,1.5,20.0,1.0,,,,
S5_Supertrend,hourly,RTKM,,,,,,,,,,,0.0683,-0.2905,,2.0,15.0,2.0,1.0,20.0,,14.0,3.5,,
S6_DualMA,hourly,RTKM,,,,,,,,,,,1.4164,0.2338,,2.0,20.0,2.5,1.0,10.0,,,,10.0,60.0
S1_MA_Reversion,daily,SBER,25.0,2.5,0.5,15.0,2.0,2.0,40.0,60.0,1.2,3.0,0.5644,0.3734,,,,,,,,,,,
S4_Donchian,daily,SBER,,,,,,,,,,,1.3987,0.4876,15.0,2.0,10.0,2.5,1.0,25.0,1.2,,,,
S4_Donchian,hourly,SBER,,,,,,,,,,,1.9659,0.7734,30.0,3.0,15.0,3.0,1.0,25.0,0.8,,,,
S5_Supertrend,hourly,SBER,,,,,,,,,,,1.3927,-0.0761,,2.5,25.0,3.0,1.0,20.0,,10.0,3.0,,
S6_DualMA,hourly,SBER,,,,,,,,,,,0.8922,0.0885,,2.0,15.0,2.0,1.0,15.0,,,,20.0,120.0
S1_MA_Reversion,daily,TATN,25.0,2.0,0.3,10.0,1.0,3.0,45.0,60.0,1.0,2.0,1.9449,0.6186,,,,,,,,,,,
S4_Donchian,daily,TATN,,,,,,,,,,,0.7283,-0.1293,10.0,2.0,15.0,2.5,1.5,15.0,1.0,,,,
S4_Donchian,hourly,TATN,,,,,,,,,,,0.8433,1.1864,20.0,2.5,15.0,3.0,1.0,25.0,1.0,,,,
S5_Supertrend,hourly,TATN,,,,,,,,,,,1.2588,-0.9782,,3.0,10.0,3.0,1.5,25.0,,10.0,3.5,,
S6_DualMA,hourly,TATN,,,,,,,,,,,2.1075,0.2342,,2.0,10.0,3.0,1.5,10.0,,,,10.0,100.0
S1_MA_Reversion,daily,VTBR,25.0,2.0,0.3,10.0,1.0,1.5,40.0,55.0,1.0,2.0,1.0754,-0.1541,,,,,,,,,,,
S4_Donchian,daily,VTBR,,,,,,,,,,,1.0438,0.26,10.0,2.0,25.0,2.5,2.0,20.0,1.2,,,,
S4_Donchian,hourly,VTBR,,,,,,,,,,,1.8062,0.4713,10.0,2.0,10.0,2.0,1.5,20.0,1.0,,,,
S5_Supertrend,hourly,VTBR,,,,,,,,,,,2.0101,-0.1359,,2.0,20.0,2.0,2.0,25.0,,20.0,2.0,,
S6_DualMA,hourly,VTBR,,,,,,,,,,,1.3099,0.1353,,2.0,20.0,2.5,1.5,10.0,,,,25.0,80.0
