strategy,category,ticker,sharpe,annual_return,annual_vol,max_drawdown,calmar,win_rate,profit_factor,exposure,turnover,avg_trade_days,n_trades,n_days,n_active
S1_MA_Reversion,Contrarian,AFLT,-0.21250608734035065,-0.015973168245264426,0.07516569734626817,-0.17930632740603283,-0.08908312649276315,0.4406779661016949,0.8257870225552242,0.0370138017565872,2.5294855708908406,7.375,8,1594,59
S1_MA_Reversion,Contrarian,ALRS,0.34694669979224535,0.017197637378182105,0.04956852850446539,-0.06789457373788899,0.25329914353059496,0.5714285714285714,1.4281208628181166,0.026348808030112924,1.2647427854454203,10.5,4,1594,42
S1_MA_Reversion,Contrarian,HYDR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1594,0
S1_MA_Reversion,Contrarian,IRAO,0.5551984265787167,0.030516308820861,0.05496468894717656,-0.06650536639090449,0.4588548334805433,0.6071428571428571,2.232537780308716,0.017587939698492462,0.949748743718593,9.333333333333334,3,1592,28
S1_MA_Reversion,Contrarian,LKOH,-0.02217427207086797,-0.0012053607878191451,0.054358527935747636,-0.1365354336628327,-0.008828190276201285,0.47692307692307695,0.9820593003100502,0.04077791718946048,1.8971141781681307,10.833333333333334,6,1594,65
S1_MA_Reversion,Contrarian,LSRG,0.3427034717371726,0.022249472728562644,0.06492339460636189,-0.12136477323789088,0.18332727145586766,0.48333333333333334,1.362770591512993,0.03787878787878788,2.3863636363636362,7.5,8,1584,60
S1_MA_Reversion,Contrarian,MGNT,-0.38942085645808183,-0.012588881835355921,0.03232718953436696,-0.12681159015960664,-0.09927232849545849,0.4666666666666667,0.4981228396168854,0.009410288582183186,0.7904642409033877,5.0,3,1594,15
S1_MA_Reversion,Contrarian,MOEX,0.3516556280252023,0.018038246691940638,0.0512952026197854,-0.14107570482092308,0.12786217665782923,0.6666666666666666,1.5332581689396731,0.02070263488080301,1.8971141781681307,5.5,6,1594,33
S1_MA_Reversion,Contrarian,MTLR,-0.7264037177389439,-0.08439443908642953,0.11618117725102192,-0.5331585199428405,-0.15829145728643218,0.28125,0.30390594613291555,0.020100502512562814,1.2663316582914574,8.0,4,1592,32
S1_MA_Reversion,Contrarian,MTSS,-0.16284431146976852,-0.006505397112954869,0.039948568385593096,-0.09158578071334236,-0.07103064539370305,0.5333333333333333,0.794088624502848,0.018832391713747645,1.265536723163842,7.5,4,1593,30
S1_MA_Reversion,Contrarian,NVTK,0.5934374790879776,0.03186693525528951,0.05369889226454674,-0.03697278791097562,0.861902416772569,0.5454545454545454,2.0739135732802976,0.020754716981132074,1.2679245283018867,8.25,4,1590,33
S1_MA_Reversion,Contrarian,OGKB,0.0404279471643133,0.00344878749014932,0.08530701487592837,-0.18602069788015746,0.01853980513701318,0.6,1.0486155287483514,0.02204030226700252,1.5869017632241813,7.0,5,1588,35
S1_MA_Reversion,Contrarian,PHOR,0.43417241655689076,0.010931211818206804,0.02517712181002742,-0.03308318590064686,0.33041593548561693,0.7272727272727273,2.4580848271744227,0.006909547738693468,0.6331658291457287,5.5,2,1592,11
S1_MA_Reversion,Contrarian,RTKM,-0.40554143832380823,-0.02549058916413662,0.06285569551041398,-0.16123809177632448,-0.15809284818067754,0.42857142857142855,0.6246406044747816,0.01756587202007528,1.2647427854454203,7.0,4,1594,28
S1_MA_Reversion,Contrarian,SBER,0.6148732386482032,0.03800514688209845,0.06180972677498966,-0.0792104071409338,0.47979991839302666,0.4716981132075472,1.8652180141296562,0.033249686323713924,1.8971141781681307,8.833333333333334,6,1594,53
S1_MA_Reversion,Contrarian,TATN,-0.08827310012086255,-0.003757147705555229,0.04256277054290588,-0.16608317392418032,-0.022622085168425482,0.5277777777777778,0.905725285555103,0.022613065326633167,1.2663316582914574,9.0,4,1592,36
S1_MA_Reversion,Contrarian,VTBR,0.2050806239318558,0.01051345243184834,0.051264971942652914,-0.06624938554120048,0.15869509348596184,0.48484848484848486,1.3022968442165546,0.020754716981132074,1.2679245283018867,8.25,4,1590,33
S2_Bollinger,Contrarian,AFLT,-0.08570297722519302,-0.006170321341489843,0.0719965809971422,-0.20374053670643946,-0.030285192339413437,0.49056603773584906,0.9243674427139467,0.033249686323713924,1.8971141781681307,8.833333333333334,6,1594,53
S2_Bollinger,Contrarian,ALRS,-0.054835377983842075,-0.0032957552342693258,0.06010271754195733,-0.19597644300874245,-0.016817098951644422,0.5147058823529411,0.9594631696401115,0.04265997490589712,1.8971141781681307,11.333333333333334,6,1594,68
S2_Bollinger,Contrarian,HYDR,-0.209197644595235,-0.011840068298314953,0.05659752202862346,-0.19595879120467408,-0.06042121522350225,0.7333333333333333,0.6471760754795542,0.009410288582183186,0.6323713927227101,7.5,2,1594,15
S2_Bollinger,Contrarian,IRAO,0.0891087725840735,0.008847372422317612,0.09928733351107692,-0.3270481623518283,0.02705220038142236,0.5319148936170213,1.1027487713844994,0.029522613065326633,1.899497487437186,7.833333333333333,6,1592,47
S2_Bollinger,Contrarian,LKOH,-0.03400024680740546,-0.00234499435854505,0.06896992165463624,-0.16810004665024675,-0.013949992312757087,0.4406779661016949,0.9693584471995449,0.0370138017565872,1.8971141781681307,9.833333333333334,6,1594,59
S2_Bollinger,Contrarian,LSRG,0.264518526190592,0.028251657017012,0.10680407691617032,-0.2666564326218582,0.1059477798425185,0.5182481751824818,1.1707217597104376,0.08648989898989899,3.8181818181818183,11.416666666666666,12,1584,137
S2_Bollinger,Contrarian,MGNT,0.3116585460898017,0.024314024800954084,0.07801494650478223,-0.15122396130459761,0.160781562598935,0.5222222222222223,1.2565897983589058,0.056461731493099125,2.8456712672521958,9.0,10,1594,90
S2_Bollinger,Contrarian,MOEX,0.26233354998998765,0.015645716095566,0.05964054577145448,-0.15096120433057303,0.103640641745976,0.576271186440678,1.2646696650825475,0.0370138017565872,1.8971141781681307,9.833333333333334,6,1594,59
S2_Bollinger,Contrarian,MTLR,-0.7739402064568125,-0.10625923849157819,0.13729644435717486,-0.7882535835225237,-0.13480336875441798,0.32653061224489793,0.3910201801001023,0.03077889447236181,1.2663316582914574,12.25,4,1592,49
