strategy,timeframe,category,ticker,sharpe,annual_return,annual_vol,max_drawdown,calmar,win_rate,profit_factor,payoff_ratio,exposure,turnover,avg_trade_bars,n_trades,sl_exit_pct,tp_exit_pct,signal_exit_pct,trailing_exit_pct,max_hold_exit_pct,adx_breakout_exit_pct
S4_Donchian,hourly,Trend,TATN,1.397259785683547,0.2961610896687101,0.21195850099115712,-0.31423884774633226,0.9424712819332403,0.496,1.1994031481359508,1.1684508088292165,0.30605106680657573,122.16579223504722,11.422976501305483,383,0.0,0.0,0.0,100.0,0.0,0.0
S6_DualMA,hourly,Trend,NVTK,1.0806530935129195,0.11070030457520773,0.10243833589126193,-0.10902239927417913,1.0153904639064937,0.5020080321285141,1.2701466990450454,1.199018483898523,0.08720319394830847,45.27421727253625,8.767605633802816,142,0.0,0.0,0.6,99.4,0.0,0.0
S8_RSI_Stoch,daily,Range,TATN,0.9952809466770572,0.03194018180841445,0.032091623892784325,-0.02639172969122633,1.210234500811542,0.6666666666666666,3.796846079335617,1.7085807357010276,0.018844221105527637,2.532663316582915,3.75,8,12.5,75.0,0.0,0.0,0.0,12.5
S6_DualMA,hourly,Trend,AFLT,0.882681157539477,0.08592048451365301,0.09734034059723352,-0.10289034932981045,0.8350684497944381,0.4886251236399604,1.2645605995963083,1.22616301053974,0.07063508698386083,44.05114231817229,7.273381294964029,139,0.0,0.0,0.0,100.0,0.0,0.0
S6_DualMA,hourly,Trend,ALRS,0.7811950307701292,0.07786885052288135,0.09967914215495653,-0.18468787584347268,0.42162405175354895,0.4860994102780118,1.1990128969958735,1.23018307629386,0.0829316006427723,46.42800251519598,8.13013698630137,146,0.0,0.0,1.2,98.8,0.0,0.0
S4_Donchian,hourly,Trend,NVTK,0.7745654027266341,0.1633788381416479,0.21092968723689418,-0.33266627568144236,0.49111932914443573,0.49290547915302335,1.0943129143765677,1.0768659414281372,0.32086572809413744,130.1038033200252,11.227941176470589,408,0.0,0.0,0.0,100.0,0.0,0.0
S5_Supertrend,daily,Trend,MTSS,0.7622646922166841,0.08673337348205008,0.11378380025687317,-0.11246872018761861,0.7711777402406891,0.5291970802919708,1.4451724630158191,1.2558050368275393,0.17200251098556182,6.6440677966101696,13.047619047619047,21,0.0,0.0,0.0,100.0,0.0,0.0
S7_Keltner,daily,Range,IRAO,0.7549113914993205,0.06481201037504121,0.08585379834621235,-0.08140764307049837,0.7961415897880071,0.5170454545454546,1.5674404325757862,1.4640927117466136,0.11055276381909548,10.447236180904524,5.333333333333333,33,42.2,48.9,4.4,0.0,4.4,0.0
S8_RSI_Stoch,hourly,Range,HYDR,0.7281344992154616,0.036465414601026466,0.05008060274621876,-0.055582766807732165,0.6560561248626747,0.5040650406504065,1.5800563768190536,1.4653748655983159,0.017187172500523998,17.43030811150702,4.472727272727273,55,38.6,48.6,0.0,0.0,1.4,11.4
S4_Donchian,hourly,Trend,LSRG,0.7219384334573969,0.15877951713701974,0.2199349830658235,-0.299861863017619,0.5295088729829251,0.470494923857868,1.1288910154883385,1.1646684111241794,0.2213949568026972,111.67156001966707,9.005714285714285,350,0.0,0.0,0.0,100.0,0.0,0.0
