horizon,lgb_qlike,xgb_qlike,har_qlike,garch_qlike
1,-6.616861116414036,-7.133041420899587,-7.527,-7.444
5,-6.622681664271834,-7.131294293127328,-7.414,-6.145
22,-6.569043453039056,1132.047488773601,-7.34,-4.248
