horizon,HAR,GARCH,HistGBoost,XGBoost,GRU,LSTM
1,-7.527,-7.444,-6.616861116414036,-7.133041420899587,138894.3759598775,1500.7881716543682
5,-7.414,-6.145,-6.622681664271834,-7.131294293127328,382583.8896341282,-7.1076630515482035
22,-7.34,-4.248,-6.569043453039056,1132.047488773601,465941.9654154147,243724.22422822646
