horizon,HAR-RV,GARCH-GJR,HistGBoost,XGBoost,GRU,LSTM
1,-7.527,-7.444,-6.616861116414036,-7.133041420899587,-6.749699542749702,-7.304783790993625
5,-7.414,-6.145,-6.622681664271834,-7.131294293127328,-6.650759568803368,-7.357168347656543
22,-7.34,-4.248,-6.569043453039056,4.32104910393698,-4.608850682624103,-6.976819579085875
