,META-A_strat,META-A_exposure,META-A_mmf,META-A_total,META-B_strat,META-B_exposure,META-B_mmf,META-B_total,META-D_strat,META-D_exposure,META-D_mmf,META-D_total,META-BEST_strat,META-BEST_exposure,META-BEST_mmf,META-BEST_total
2022-01-03,0.0002759685093867148,0.08823529411764706,0.00017485898468976634,0.0004508274940764811,9.446308984117913e-05,0.05664488017429194,0.00018091742024054676,0.00027538051008172586,0.0003136749906531566,0.05228758169934641,0.00018175306652341302,0.0004954280571765697,-4.1759829189191855e-05,0.05228758169934641,0.00018175306652341302,0.00013999323733422116
2022-01-04,0.0005127549618684224,0.07516339869281047,0.00017736592353836513,0.0006901208854067875,0.00044732459818952464,0.0392156862745098,0.00018426000537201184,0.0006315846035615365,0.0004229762683847227,0.051198257080610016,0.0001819619780941296,0.0006049382464788523,0.00048605411664781606,0.04248366013071895,0.00018363327065986214,0.0006696873873076782
2022-01-05,0.0005060249182424759,0.10239651416122005,0.00017214313427045097,0.0006781680525129268,0.000955795165910045,0.03812636165577342,0.0001844689169427284,0.0011402640828527735,0.0007685115632962702,0.0784313725490196,0.00017673918882621544,0.0009452507521224857,0.0010199133349781953,0.04248366013071895,0.00018363327065986214,0.0012035466056380573
2022-01-06,-0.0019854328593086334,0.15904139433551198,0.0001612797325931895,-0.001824153126715444,-0.00031279717169541144,0.05555555555555555,0.00018112633181126332,-0.00013167083988414811,-0.001271624628750967,0.12418300653594772,0.00016796490285611964,-0.0011036597258948474,-0.0003167153161116598,0.05555555555555556,0.00018112633181126332,-0.0001355889843003965
2022-01-10,0.0010896608412829245,0.11982570806100218,0.00016880054913898592,0.0012584613904219105,4.852934774435269e-05,0.013071895424836602,0.00018927388306920945,0.00023780323081356214,0.0005425693327893999,0.09150326797385622,0.00017423224997761664,0.0007168015827670165,4.852934774435269e-05,0.013071895424836603,0.00018927388306920945,0.00023780323081356214
2022-01-11,-0.0009199056140223316,0.10021786492374728,0.0001725609574118841,-0.0007473446566104475,-0.0002046390918114538,0.006535947712418301,0.00019052735249350884,-1.4111739317944946e-05,-0.0006817206921118091,0.07516339869281047,0.00017736592353836513,-0.000504354768573444,-7.547846349753584e-05,0.010893246187363835,0.00018969170621064256,0.00011421324271310672
2022-01-12,-0.00038761895814543035,0.10021786492374728,0.0001725609574118841,-0.00021505800073354624,8.248874581595622e-05,0.03050108932461874,0.00018593129793774437,0.0002684200437537006,-0.00025549105787736615,0.07189542483660132,0.00017799265825051483,-7.749839962685131e-05,8.248874581595622e-05,0.03050108932461874,0.00018593129793774437,0.0002684200437537006
2022-01-13,0.0016207792461173653,0.08169934640522876,0.00017611245411406574,0.0017968917002314311,0.0007908407917127658,0.013071895424836602,0.00018927388306920945,0.0009801146747819753,0.0016267112151482355,0.06100217864923748,0.00018008177395768048,0.0018067929891059159,0.0007908407917127658,0.013071895424836602,0.00018927388306920945,0.0009801146747819753
2022-01-14,0.0005439296499178958,0.11982570806100218,0.00016880054913898592,0.0007127301990568817,-0.0002781149480568512,0.014161220043572984,0.00018906497149849286,-8.904997655835836e-05,0.0007421744420255116,0.09368191721132897,0.0001738144268361835,0.0009159888688616951,-0.0002781149480568512,0.014161220043572986,0.00018906497149849286,-8.904997655835836e-05
2022-01-17,0.003522553192738087,0.16230936819172112,0.0001606529978810398,0.003683206190619127,9.599053400144442e-05,0.007625272331154685,0.00019031844092279226,0.0002863089749242367,0.002831543565166905,0.1328976034858388,0.0001662936102903871,0.0029978371754572925,9.599053400144442e-05,0.007625272331154683,0.00019031844092279226,0.0002863089749242367
2022-01-18,0.0040879813026080125,0.17102396514161222,0.00015898170531530726,0.004246963007923319,0.0013947047261018142,0.02505446623093682,0.0001869758557913272,0.0015816805818931413,0.003021707206657176,0.13507625272331156,0.00016587578714895396,0.00318758299380613,0.0013751757515105822,0.022875816993464054,0.00018739367893276033,0.0015625694304433426
2022-01-19,-0.0019022338480397805,0.1775599128540305,0.00015772823589100786,-0.0017445056121487726,-7.843137254881505e-06,0.0,0.00019178082191780824,0.00018393768466292673,-0.002042461405191154,0.11437908496732024,0.00016984510699256873,-0.001872616298198585,-3.9215686274962636e-06,0.0,0.00019178082191780824,0.00018785925329031197
2022-01-20,-0.0011432499878650804,0.1339869281045752,0.00016608469871967055,-0.0009771652891454098,0.0,0.0,0.00019178082191780824,0.00019178082191780824,-0.0010478203519597162,0.07516339869281047,0.00017736592353836513,-0.0008704544284213511,0.0,0.0,0.00019178082191780824,0.00019178082191780824
2022-01-21,0.002785909522831753,0.0925925925925926,0.00017402333840690006,0.002959932861238653,0.00035372804404287805,0.006535947712418301,0.00019052735249350884,0.0005442553965363868,0.0025277167817205903,0.05664488017429194,0.00018091742024054676,0.002708634201961137,0.0002675804499601142,0.0054466230936819175,0.0001907362640642254,0.0004583167140243396
2022-01-24,0.003237190922726896,0.14705882352941177,0.00016357775987107173,0.0034007686825979675,0.003943967416280891,0.026143790849673203,0.00018676694422061063,0.0041307343605015015,0.0031352521551422097,0.09694989106753812,0.0001731876921240338,0.0033084398472662435,0.004689232280314037,0.034858387799564274,0.0001850956516548781,0.004874327931968916
