2026-02-06 17:13:35 | INFO     | train_neural | Using 21 features for IRAO
2026-02-06 17:13:35 | WARNING  | train_neural | Insufficient data for IRAO
2026-02-06 17:13:35 | INFO     | train_neural | Using 21 features for LKOH
2026-02-06 17:13:35 | WARNING  | train_neural | Insufficient data for LKOH
2026-02-06 17:13:35 | INFO     | train_neural | Using 21 features for LSRG
2026-02-06 17:13:35 | WARNING  | train_neural | Insufficient data for LSRG
2026-02-06 17:13:35 | INFO     | train_neural | Using 21 features for MGNT
2026-02-06 17:13:35 | WARNING  | train_neural | Insufficient data for MGNT
2026-02-06 17:13:35 | INFO     | train_neural | Using 21 features for MOEX
2026-02-06 17:13:35 | WARNING  | train_neural | Insufficient data for MOEX
2026-02-06 17:13:36 | INFO     | train_neural | Using 21 features for MTLR
2026-02-06 17:13:36 | WARNING  | train_neural | Insufficient data for MTLR
2026-02-06 17:13:36 | INFO     | train_neural | Using 21 features for MTSS
2026-02-06 17:13:36 | WARNING  | train_neural | Insufficient data for MTSS
2026-02-06 17:13:36 | INFO     | train_neural | Using 21 features for NVTK
2026-02-06 17:13:36 | WARNING  | train_neural | Insufficient data for NVTK
2026-02-06 17:13:36 | INFO     | train_neural | Using 21 features for OGKB
2026-02-06 17:13:36 | WARNING  | train_neural | Insufficient data for OGKB
2026-02-06 17:13:36 | INFO     | train_neural | Using 21 features for PHOR
2026-02-06 17:13:36 | WARNING  | train_neural | Insufficient data for PHOR
2026-02-06 17:13:36 | INFO     | train_neural | Using 21 features for RTKM
2026-02-06 17:13:36 | WARNING  | train_neural | Insufficient data for RTKM
2026-02-06 17:13:36 | INFO     | train_neural | Using 21 features for SBER
2026-02-06 17:13:36 | WARNING  | train_neural | Insufficient data for SBER
2026-02-06 17:13:36 | INFO     | train_neural | Using 21 features for TATN
2026-02-06 17:13:36 | WARNING  | train_neural | Insufficient data for TATN
2026-02-06 17:13:36 | INFO     | train_neural | Using 21 features for VTBR
2026-02-06 17:13:36 | WARNING  | train_neural | Insufficient data for VTBR
2026-02-06 17:13:36 | INFO     | train_neural | 
======================================================================
2026-02-06 17:13:36 | INFO     | train_neural | Neural network training complete!
2026-02-06 17:13:36 | INFO     | train_neural | ======================================================================
2026-02-06 17:14:41 | INFO     | train_neural | ======================================================================
2026-02-06 17:14:41 | INFO     | train_neural | Training Neural Network Models (GRU, LSTM)
2026-02-06 17:14:41 | INFO     | train_neural | Started: 2026-02-06 17:14:41.612351
2026-02-06 17:14:41 | INFO     | train_neural | ======================================================================
2026-02-06 17:14:41 | INFO     | train_neural | Loading features from /Users/nilysenok/Desktop/MOEX_ISS/moex_volatility/data/features/features_all.parquet
2026-02-06 17:14:41 | INFO     | train_neural | 
==================================================
2026-02-06 17:14:41 | INFO     | train_neural | Horizon: 1 days
2026-02-06 17:14:41 | INFO     | train_neural | ==================================================
2026-02-06 17:14:41 | INFO     | train_neural | Using 21 features for AFLT
2026-02-06 17:14:41 | INFO     | train_neural | Optimizing GRU for AFLT...
2026-02-06 17:15:09 | INFO     | train_neural | GRU AFLT: RMSE=0.000299
2026-02-06 17:15:09 | INFO     | train_neural | Optimizing LSTM for AFLT...
2026-02-06 17:15:18 | INFO     | train_neural | LSTM AFLT: RMSE=0.000762
2026-02-06 17:15:18 | INFO     | train_neural | Using 21 features for ALRS
2026-02-06 17:15:18 | INFO     | train_neural | Optimizing GRU for ALRS...
2026-02-06 17:15:43 | INFO     | train_neural | GRU ALRS: RMSE=0.000280
2026-02-06 17:15:43 | INFO     | train_neural | Optimizing LSTM for ALRS...
2026-02-06 17:15:51 | INFO     | train_neural | LSTM ALRS: RMSE=0.000396
2026-02-06 17:15:51 | INFO     | train_neural | Using 21 features for HYDR
2026-02-06 17:15:51 | INFO     | train_neural | Optimizing GRU for HYDR...
2026-02-06 17:16:16 | INFO     | train_neural | GRU HYDR: RMSE=0.000286
2026-02-06 17:16:16 | INFO     | train_neural | Optimizing LSTM for HYDR...
2026-02-06 17:16:24 | INFO     | train_neural | LSTM HYDR: RMSE=0.000322
2026-02-06 17:16:24 | INFO     | train_neural | Using 21 features for IRAO
2026-02-06 17:16:24 | INFO     | train_neural | Optimizing GRU for IRAO...
2026-02-06 17:16:49 | INFO     | train_neural | GRU IRAO: RMSE=0.026223
2026-02-06 17:16:49 | INFO     | train_neural | Optimizing LSTM for IRAO...
2026-02-06 17:16:57 | INFO     | train_neural | LSTM IRAO: RMSE=0.126037
2026-02-06 17:16:57 | INFO     | train_neural | Using 21 features for LKOH
2026-02-06 17:16:57 | INFO     | train_neural | Optimizing GRU for LKOH...
2026-02-06 17:17:23 | INFO     | train_neural | GRU LKOH: RMSE=0.000178
2026-02-06 17:17:23 | INFO     | train_neural | Optimizing LSTM for LKOH...
2026-02-06 17:17:31 | INFO     | train_neural | LSTM LKOH: RMSE=0.000172
