Portfolio,Multiplier,Avg_Exposure,Max_Exposure,P95_Exposure,Free_Capital,Pct_Over100,Return_pct,Vol_pct,Sharpe,MDD_pct,Calmar
META-B,14.5,60.1,241.7,142.2,45.1,14.3,56.78,18.91,3.0,-6.0,9.46
META-B,15.0,62.1,250.0,147.1,43.9,23.2,58.5,19.56,2.99,-6.33,9.23
META-D,1.0,12.3,24.5,19.6,87.7,0.0,15.01,2.78,5.4,-1.31,11.42
META-D,1.5,18.5,36.8,29.4,81.5,0.0,18.12,4.17,4.34,-2.26,8.01
META-D,2.0,24.6,49.0,39.2,75.4,0.0,21.23,5.56,3.82,-3.25,6.53
META-D,2.5,30.8,61.3,49.0,69.2,0.0,24.34,6.95,3.5,-4.23,5.75
META-D,3.0,37.0,73.5,58.8,63.0,0.0,27.45,8.34,3.29,-5.2,5.28
META-D,3.5,43.1,85.8,68.6,56.9,0.0,30.56,9.73,3.14,-6.22,4.91
META-D,4.0,49.3,98.0,78.4,50.7,0.0,33.67,11.12,3.03,-7.44,4.53
META-D,4.5,55.4,110.3,88.2,44.6,1.4,36.79,12.52,2.94,-8.65,4.26
META-D,5.0,61.6,122.5,98.0,38.7,3.4,39.93,13.91,2.87,-9.84,4.06
META-D,5.5,67.8,134.8,107.8,33.2,7.7,43.1,15.3,2.82,-11.0,3.92
META-D,6.0,73.9,147.1,117.6,28.0,12.2,46.32,16.69,2.77,-12.12,3.82
META-D,6.5,80.1,159.3,127.5,23.5,22.0,49.6,18.09,2.74,-13.2,3.76
META-D,7.0,86.2,171.6,137.3,19.6,30.1,52.92,19.48,2.72,-14.26,3.71
META-D,7.5,92.4,183.8,147.1,16.2,38.4,56.29,20.87,2.7,-15.31,3.68
META-D,8.0,98.5,196.1,156.9,13.4,48.9,59.71,22.26,2.68,-16.33,3.66
META-D,8.5,104.7,208.3,166.7,11.1,48.9,63.16,23.66,2.67,-17.33,3.65
META-D,9.0,110.9,220.6,176.5,9.3,59.4,66.67,25.05,2.66,-18.3,3.64
META-D,9.5,117.0,232.8,186.3,7.8,69.9,70.2,26.44,2.66,-19.26,3.64
META-D,10.0,123.2,245.1,196.1,6.7,69.9,73.76,27.83,2.65,-20.21,3.65
META-D,10.5,129.3,257.4,205.9,5.7,77.7,77.33,29.22,2.65,-21.14,3.66
META-D,11.0,135.5,269.6,215.7,4.9,77.7,80.92,30.62,2.64,-22.06,3.67
META-D,11.5,141.7,281.9,225.5,4.3,84.7,84.51,32.01,2.64,-22.98,3.68
META-D,12.0,147.8,294.1,235.3,3.8,84.7,88.13,33.4,2.64,-23.88,3.69
META-D,12.5,154.0,306.4,245.1,3.3,84.7,91.74,34.79,2.64,-24.78,3.7
META-D,13.0,160.1,318.6,254.9,2.9,89.9,95.36,36.18,2.64,-25.67,3.71
META-D,13.5,166.3,330.9,264.7,2.6,89.9,98.99,37.58,2.63,-26.55,3.73
META-D,14.0,172.5,343.1,274.5,2.4,89.9,102.62,38.97,2.63,-27.43,3.74
META-D,14.5,178.6,355.4,284.3,2.1,89.9,106.25,40.36,2.63,-28.3,3.75
META-D,15.0,184.8,367.6,294.1,1.9,93.9,109.9,41.75,2.63,-29.16,3.77
META-BEST,1.0,12.4,25.5,19.6,87.6,0.0,15.17,2.79,5.44,-1.28,11.88
META-BEST,1.5,18.6,38.2,29.4,81.4,0.0,18.37,4.18,4.39,-2.18,8.43
META-BEST,2.0,24.8,51.0,39.2,75.2,0.0,21.56,5.58,3.87,-3.14,6.87
META-BEST,2.5,31.0,63.7,49.0,69.0,0.0,24.75,6.97,3.55,-4.09,6.05
META-BEST,3.0,37.2,76.5,58.8,62.8,0.0,27.94,8.37,3.34,-5.08,5.5
META-BEST,3.5,43.4,89.2,68.6,56.6,0.0,31.14,9.76,3.19,-6.11,5.1
META-BEST,4.0,49.7,102.0,78.4,50.3,0.1,34.33,11.16,3.08,-7.2,4.77
META-BEST,4.5,55.9,114.7,88.2,44.2,1.4,37.53,12.55,2.99,-8.38,4.48
META-BEST,5.0,62.1,127.5,98.0,38.3,3.5,40.75,13.95,2.92,-9.54,4.27
META-BEST,5.5,68.3,140.2,107.8,32.7,8.1,44.01,15.34,2.87,-10.66,4.13
META-BEST,6.0,74.5,152.9,117.6,27.5,12.1,47.31,16.74,2.83,-11.75,4.03
META-BEST,6.5,80.7,165.7,127.5,23.0,22.1,50.67,18.14,2.79,-12.81,3.96
META-BEST,7.0,86.9,178.4,137.3,19.0,29.7,54.07,19.53,2.77,-13.85,3.9
META-BEST,7.5,93.1,191.2,147.1,15.6,38.5,57.52,20.93,2.75,-14.86,3.87
META-BEST,8.0,99.3,203.9,156.9,12.7,49.9,61.01,22.33,2.73,-15.86,3.85
META-BEST,8.5,105.5,216.7,166.7,10.4,49.9,64.55,23.72,2.72,-16.83,3.84
META-BEST,9.0,111.7,229.4,176.5,8.7,60.9,68.16,25.12,2.71,-17.78,3.83
META-BEST,9.5,117.9,242.2,186.3,7.3,71.7,71.78,26.51,2.71,-18.72,3.84
META-BEST,10.0,124.1,254.9,196.1,6.2,71.7,75.43,27.91,2.7,-19.64,3.84
META-BEST,10.5,130.3,267.6,205.9,5.3,79.5,79.1,29.3,2.7,-20.55,3.85
META-BEST,11.0,136.6,280.4,215.7,4.6,79.5,82.78,30.7,2.7,-21.45,3.86
META-BEST,11.5,142.8,293.1,225.5,3.9,85.5,86.47,32.1,2.69,-22.34,3.87
META-BEST,12.0,149.0,305.9,235.3,3.5,85.5,90.17,33.49,2.69,-23.22,3.88
META-BEST,12.5,155.2,318.6,245.1,3.0,85.5,93.87,34.89,2.69,-24.1,3.89
META-BEST,13.0,161.4,331.4,254.9,2.7,90.5,97.58,36.28,2.69,-24.97,3.91
META-BEST,13.5,167.6,344.1,264.7,2.4,90.5,101.3,37.68,2.69,-25.84,3.92
META-BEST,14.0,173.8,356.9,274.5,2.1,90.5,105.02,39.07,2.69,-26.69,3.93
META-BEST,14.5,180.0,369.6,284.3,1.9,90.5,108.74,40.47,2.69,-27.54,3.95
META-BEST,15.0,186.2,382.4,294.1,1.7,94.7,112.46,41.86,2.69,-28.39,3.96
