2026-02-06 14:13:51 | WARNING  | train_classical | Insufficient data for OGKB
2026-02-06 14:13:51 | WARNING  | train_classical | Insufficient data for PHOR
2026-02-06 14:13:51 | WARNING  | train_classical | Insufficient data for RTKM
2026-02-06 14:13:51 | WARNING  | train_classical | Insufficient data for SBER
2026-02-06 14:13:51 | WARNING  | train_classical | Insufficient data for TATN
2026-02-06 14:13:51 | WARNING  | train_classical | Insufficient data for VTBR
2026-02-06 14:13:51 | INFO     | train_classical | 
Horizon 5 Summary:
2026-02-06 14:13:51 | INFO     | train_classical | 
--- Horizon: 22 days ---
2026-02-06 14:13:51 | WARNING  | train_classical | Insufficient data for AFLT
2026-02-06 14:13:51 | WARNING  | train_classical | Insufficient data for ALRS
2026-02-06 14:13:51 | WARNING  | train_classical | Insufficient data for HYDR
2026-02-06 14:13:51 | WARNING  | train_classical | Insufficient data for IRAO
2026-02-06 14:13:51 | WARNING  | train_classical | Insufficient data for LKOH
2026-02-06 14:13:51 | WARNING  | train_classical | Insufficient data for LSRG
2026-02-06 14:13:51 | WARNING  | train_classical | Insufficient data for MGNT
2026-02-06 14:13:51 | WARNING  | train_classical | Insufficient data for MOEX
2026-02-06 14:13:51 | WARNING  | train_classical | Insufficient data for MTLR
2026-02-06 14:13:51 | WARNING  | train_classical | Insufficient data for MTSS
2026-02-06 14:13:51 | WARNING  | train_classical | Insufficient data for NVTK
2026-02-06 14:13:51 | WARNING  | train_classical | Insufficient data for OGKB
2026-02-06 14:13:51 | WARNING  | train_classical | Insufficient data for PHOR
2026-02-06 14:13:51 | WARNING  | train_classical | Insufficient data for RTKM
2026-02-06 14:13:51 | WARNING  | train_classical | Insufficient data for SBER
2026-02-06 14:13:51 | WARNING  | train_classical | Insufficient data for TATN
2026-02-06 14:13:51 | WARNING  | train_classical | Insufficient data for VTBR
2026-02-06 14:13:51 | INFO     | train_classical | 
Horizon 22 Summary:
2026-02-06 14:13:51 | INFO     | train_classical | 
======================================================================
2026-02-06 14:13:51 | INFO     | train_classical | Classical model training complete!
2026-02-06 14:13:51 | INFO     | train_classical | ======================================================================
2026-02-06 14:14:34 | INFO     | train_classical | ======================================================================
2026-02-06 14:14:34 | INFO     | train_classical | Training Classical Models (HAR, GARCH)
2026-02-06 14:14:34 | INFO     | train_classical | Started: 2026-02-06 14:14:34.917303
2026-02-06 14:14:34 | INFO     | train_classical | ======================================================================
2026-02-06 14:14:34 | INFO     | train_classical | Loading features from /Users/nilysenok/Desktop/MOEX_ISS/moex_volatility/data/features/features_all.parquet
2026-02-06 14:14:35 | INFO     | train_classical | Loaded 50906 rows, 17 tickers
2026-02-06 14:14:35 | INFO     | train_classical | 
--- Horizon: 1 days ---
2026-02-06 14:14:35 | INFO     | train_classical | Saved predictions to /Users/nilysenok/Desktop/MOEX_ISS/moex_volatility/data/predictions/test_2019/classical_h1.parquet
2026-02-06 14:14:35 | INFO     | train_classical | 
Horizon 1 Summary:
2026-02-06 14:14:35 | INFO     | train_classical |   AFLT: RMSE=0.000171, R²=-0.0508
2026-02-06 14:14:35 | INFO     | train_classical |   ALRS: RMSE=0.000214, R²=0.0115
2026-02-06 14:14:35 | INFO     | train_classical |   HYDR: RMSE=0.000207, R²=0.0247
2026-02-06 14:14:35 | INFO     | train_classical |   IRAO: RMSE=0.000621, R²=0.0415
2026-02-06 14:14:35 | INFO     | train_classical |   LKOH: RMSE=0.000162, R²=-0.1813
2026-02-06 14:14:35 | INFO     | train_classical | 
--- Horizon: 5 days ---
2026-02-06 14:14:35 | INFO     | train_classical | Saved predictions to /Users/nilysenok/Desktop/MOEX_ISS/moex_volatility/data/predictions/test_2019/classical_h5.parquet
2026-02-06 14:14:35 | INFO     | train_classical | 
Horizon 5 Summary:
2026-02-06 14:14:35 | INFO     | train_classical |   AFLT: RMSE=0.000341, R²=-3.1536
2026-02-06 14:14:35 | INFO     | train_classical |   ALRS: RMSE=0.000216, R²=-0.0102
2026-02-06 14:14:35 | INFO     | train_classical |   HYDR: RMSE=0.000217, R²=-0.0177
2026-02-06 14:14:35 | INFO     | train_classical |   IRAO: RMSE=0.000637, R²=0.0250
2026-02-06 14:14:35 | INFO     | train_classical |   LKOH: RMSE=0.000151, R²=-0.0287
2026-02-06 14:14:35 | INFO     | train_classical | 
--- Horizon: 22 days ---
