date,META-A_strat,META-A_mmf,META-A_total,META-A_exposure,META-B_strat,META-B_mmf,META-B_total,META-B_exposure,META-C_strat,META-C_mmf,META-C_total,META-C_exposure,META-D_strat,META-D_mmf,META-D_total,META-D_exposure,META-BEST_strat,META-BEST_mmf,META-BEST_total,META-BEST_exposure,META-MEAN(BCD)_strat,META-MEAN(BCD)_mmf,META-MEAN(BCD)_total,META-MEAN(BCD)_exposure,IMOEX,META-D x2,META-D x2 + MMF,META-D x3,META-D x3 + MMF,META-BEST x2,META-BEST x2 + MMF,META-BEST x3,META-BEST x3 + MMF
2022-01-03,-0.0009822142156862745,0.00016733816814396994,-0.0008148760475423046,0.12745098039215685,-0.00021888784313725489,0.00018614020950846093,-3.2747633628793955e-05,0.029411764705882353,-3.9215686274509805e-05,0.00018986301369863014,0.00015064732742412032,0.01,-0.0006771265686274511,0.00017297878055331725,-0.0005041477880741339,0.09803921568627451,-0.0006771265686274511,0.00017297878055331725,-0.0005041477880741339,0.09803921568627451,-0.00031174336601307197,0.00018299400125346943,-0.00012874936475960254,0.04581699346405229,0.017226174067795696,-0.0013542531372549022,-0.001200076398066076,-0.0020313797058823533,-0.001896005008058018,-0.0013542531372549022,-0.001200076398066076,-0.0020313797058823533,-0.001896005008058018
2022-01-04,0.0027455411764705884,0.00015981735159817354,0.0029053585280687617,0.16666666666666666,0.0003235332352941178,0.00018237980123556272,0.0005059130365296805,0.049019607843137254,0.0009920238235294118,0.00017835616438356165,0.0011703799879129735,0.07,0.0037374051960784318,0.00016733816814396994,0.003904743364222402,0.12745098039215685,0.0037374051960784318,0.00016733816814396994,0.003904743364222402,0.12745098039215685,0.001684320751633987,0.00017602471125436478,0.0018603454628883518,0.08215686274509804,0.005448410123296554,0.0074748103921568635,0.007617705906526995,0.011212215588235295,0.011330668448831589,0.0074748103921568635,0.007617705906526995,0.011212215588235295,0.011330668448831589
2022-01-05,-0.0006360398039215688,0.00016169755573462263,-0.00047434224818694614,0.1568627450980392,0.0002739857843137255,0.00018614020950846093,0.0004601259938221864,0.029411764705882353,0.00015162745098039213,0.00017643835616438358,0.0003280658071447757,0.08,-0.0010783913725490198,0.00016921837228041904,-0.0009091730002686008,0.11764705882352941,-0.0010783913725490198,0.00016921837228041904,-0.0009091730002686008,0.11764705882352942,-0.00021759271241830064,0.0001772656459844212,-4.032706643387944e-05,0.07568627450980392,-0.015087169451837856,-0.0021567827450980396,-0.0020101268224550096,-0.003235174117647059,-0.0031110806446414184,-0.0021567827450980396,-0.0020101268224550096,-0.003235174117647059,-0.0031110806446414184
2022-01-06,0.000639158431372549,0.00016733816814396994,0.000806496599516519,0.12745098039215685,-0.00011764705882352942,0.00019178082191780824,7.413376309427882e-05,0.0,8.197254901960785e-05,0.00017835616438356165,0.0002603287134031695,0.07,0.0005051985294117647,0.00017297878055331725,0.000678177309965082,0.09803921568627451,0.0005051985294117647,0.00017297878055331725,0.000678177309965082,0.09803921568627451,0.00015650800653594773,0.0001810385889515624,0.0003375465954875101,0.056013071895424836,-0.016188516533204078,0.0010103970588235295,0.0011645737980123558,0.0015155955882352942,0.0016509702860596294,0.0010103970588235295,0.0011645737980123558,0.0015155955882352942,0.0016509702860596294
2022-01-10,-0.001653349607843137,0.00016733816814396994,-0.001486011439699167,0.12745098039215685,0.0,0.00019178082191780824,0.00019178082191780824,0.0,-0.0009092426470588235,0.00017835616438356165,-0.0007308864826752619,0.07,-0.0018241186274509803,0.00017297878055331725,-0.001651139846897663,0.09803921568627451,-0.0018241186274509803,0.00017297878055331725,-0.001651139846897663,0.09803921568627451,-0.0009111204248366013,0.0001810385889515624,-0.000730081835885039,0.056013071895424836,-0.008844020742091896,-0.0036482372549019606,-0.0034940605157131343,-0.005472355882352941,-0.005336981184528605,-0.0036482372549019606,-0.0034940605157131343,-0.005472355882352941,-0.005336981184528605
2022-01-11,0.0003446061764705882,0.00016357775987107173,0.00050818393634166,0.14705882352941177,0.0003726413725490196,0.00018802041364491002,0.0005606617861939296,0.0196078431372549,0.00047935294117647064,0.00017068493150684932,0.0006500378726833199,0.11,-0.00016373127450980388,0.00017109857641686813,7.367301907064248e-06,0.10784313725490197,-5.2080784313725466e-05,0.00017297878055331725,0.00012089799623959179,0.09803921568627451,0.00022942101307189548,0.0001766013071895425,0.00040602232026143794,0.07915032679738562,0.012466966950902547,-0.00032746254901960776,-0.00017704621810367974,-0.0004911938235294117,-0.0003614597381144237,-0.00010416156862745093,5.00151705613753e-05,-0.0001562423529411764,-2.086765511684119e-05
2022-01-12,0.0009151376470588238,0.00016357775987107173,0.0010787154069298957,0.14705882352941177,-7.843137254901961e-05,0.00019178082191780824,0.00011334944936878863,0.0,0.0012833945098039215,0.00017068493150684932,0.0014540794413107707,0.11,0.001428105392156863,0.00017109857641686813,0.0015992039685737312,0.10784313725490197,0.0013888897058823531,0.00017109857641686816,0.0015599882822992213,0.10784313725490195,0.0008776895098039217,0.0001778547766138419,0.0010555442864177635,0.07261437908496732,0.00029324041222733577,0.002856210784313726,0.003006627115229654,0.004284316176470589,0.004414050261885577,0.0027777794117647063,0.002928195742680634,0.004166669117647059,0.004296403203062047
2022-01-13,0.00029381401960784317,0.00016545796400752085,0.000459271983615364,0.13725490196078433,0.0,0.00019178082191780824,0.00019178082191780824,0.0,0.00024236588235294117,0.00017643835616438358,0.00041880423851732476,0.08,0.0005232250980392157,0.00017297878055331725,0.000696203878592533,0.09803921568627451,0.0005232250980392157,0.00017297878055331725,0.000696203878592533,0.09803921568627451,0.00025519699346405225,0.00018039931954516968,0.00043559631300922196,0.05934640522875817,-0.029492393830551467,0.0010464501960784315,0.0012006269352672577,0.0015696752941176473,0.0017050499919419825,0.0010464501960784315,0.0012006269352672577,0.0015696752941176473,0.0017050499919419825
2022-01-14,0.0020675432352941178,0.00016545796400752085,0.0022330011993016386,0.13725490196078433,0.0002336335294117647,0.00018990061778135914,0.00042353414719312383,0.00980392156862745,0.0018227326470588237,0.00017452054794520552,0.001997253195004029,0.09,0.0021739158823529414,0.00017485898468976634,0.0023487748670427077,0.08823529411764706,0.0021739158823529414,0.00017485898468976634,0.0023487748670427077,0.08823529411764706,0.001410094019607843,0.00017976005013877697,0.00158985406974662,0.06267973856209151,-0.021158017051592926,0.004347831764705883,0.004505768912167607,0.0065217476470588245,0.0066627629572925074,0.004347831764705883,0.004505768912167607,0.0065217476470588245,0.0066627629572925074
2022-01-17,0.005405396078431372,0.00016545796400752085,0.005570854042438893,0.13725490196078433,0.0009557523529411764,0.00018614020950846093,0.0011418925624496375,0.029411764705882353,0.0035194735294117644,0.00017452054794520552,0.0036939940773569697,0.09,0.004568468137254902,0.00017673918882621544,0.004745207326081117,0.0784313725490196,0.004568468137254902,0.00017673918882621544,0.004745207326081117,0.0784313725490196,0.0030145646732026143,0.00017913331542662728,0.0031936979886292415,0.06594771241830065,-0.010183542860955574,0.009136936274509804,0.009298633830244426,0.013705404411764707,0.013852060334407737,0.009136936274509804,0.009298633830244426,0.013705404411764707,0.013852060334407737
