ticker,interval,first_date,last_date
KZOSP,31,2014-06-01 00:00:00,2026-02-28 00:00:00
LEAS,31,2024-03-01 00:00:00,2026-02-28 00:00:00
LENT,31,2021-12-01 00:00:00,2026-02-28 00:00:00
LIFE,31,2014-06-01 00:00:00,2026-02-28 00:00:00
LKOH,31,2003-08-01 00:00:00,2026-02-28 00:00:00
LMBZ,31,2024-10-01 00:00:00,2026-02-28 00:00:00
LNZL,31,2014-06-01 00:00:00,2026-02-28 00:00:00
LNZLP,31,2014-06-01 00:00:00,2026-02-28 00:00:00
LPSB,31,2014-08-01 00:00:00,2026-02-28 00:00:00
LSNG,31,2014-06-01 00:00:00,2026-02-28 00:00:00
LSNGP,31,2014-06-01 00:00:00,2026-02-28 00:00:00
LSRG,31,2011-02-01 00:00:00,2026-02-28 00:00:00
LVHK,31,2014-06-01 00:00:00,2026-02-28 00:00:00
MAGE,31,2014-06-01 00:00:00,2026-02-28 00:00:00
MAGEP,31,2014-06-01 00:00:00,2026-02-28 00:00:00
MAGN,31,2014-06-01 00:00:00,2026-02-28 00:00:00
MBNK,31,2024-04-01 00:00:00,2026-02-28 00:00:00
MDMG,31,2020-11-01 00:00:00,2026-02-28 00:00:00
MFGS,31,2014-06-01 00:00:00,2026-02-28 00:00:00
MFGSP,31,2014-06-01 00:00:00,2026-02-28 00:00:00
MGKL,31,2023-12-01 00:00:00,2026-02-28 00:00:00
MGNT,31,2011-01-01 00:00:00,2026-02-28 00:00:00
MGNZ,31,2014-06-01 00:00:00,2022-11-01 00:00:00
MGTS,31,2003-03-01 00:00:00,2026-02-28 00:00:00
MGTSP,31,2003-03-01 00:00:00,2026-02-28 00:00:00
MISB,31,2014-06-01 00:00:00,2026-02-28 00:00:00
MISBP,31,2014-06-01 00:00:00,2026-02-28 00:00:00
MOEX,31,2013-04-01 00:00:00,2026-02-28 00:00:00
MRKC,31,2012-10-01 00:00:00,2026-02-28 00:00:00
MRKK,31,2014-06-01 00:00:00,2026-02-28 00:00:00
MRKP,31,2012-02-01 00:00:00,2026-02-28 00:00:00
MRKS,31,2014-06-01 00:00:00,2026-02-28 00:00:00
MRKU,31,2014-06-01 00:00:00,2026-02-28 00:00:00
MRKV,31,2014-06-01 00:00:00,2026-02-28 00:00:00
MRKY,31,2014-06-01 00:00:00,2026-02-28 00:00:00
MRKZ,31,2014-06-01 00:00:00,2026-02-28 00:00:00
MRSB,31,2014-06-01 00:00:00,2026-02-28 00:00:00
MSNG,31,2003-09-01 00:00:00,2026-02-28 00:00:00
MSRS,31,2009-02-01 00:00:00,2026-02-28 00:00:00
MSTT,31,2014-06-01 00:00:00,2026-02-28 00:00:00
MTLR,31,2009-03-01 00:00:00,2026-02-28 00:00:00
MTLRP,31,2011-08-01 00:00:00,2026-02-28 00:00:00
MTSS,31,2010-10-01 00:00:00,2026-02-28 00:00:00
MVID,31,2014-06-01 00:00:00,2026-02-28 00:00:00
NAUK,31,2014-06-01 00:00:00,2026-02-28 00:00:00
NFAZ,31,2014-06-01 00:00:00,2026-02-28 00:00:00
NKHP,31,2015-12-01 00:00:00,2026-02-28 00:00:00
NKNC,31,2014-06-01 00:00:00,2026-02-28 00:00:00
NKNCP,31,2014-06-01 00:00:00,2026-02-28 00:00:00
NKSH,31,2014-06-01 00:00:00,2026-02-28 00:00:00
NLMK,31,2014-06-01 00:00:00,2026-02-28 00:00:00
NMTP,31,2014-06-01 00:00:00,2026-02-28 00:00:00
NNSB,31,2014-06-01 00:00:00,2026-02-28 00:00:00
NNSBP,31,2014-06-01 00:00:00,2026-02-28 00:00:00
NSVZ,31,2014-06-01 00:00:00,2026-02-28 00:00:00
NVTK,31,2009-10-01 00:00:00,2026-02-28 00:00:00
OGKB,31,2009-11-01 00:00:00,2026-02-28 00:00:00
OKEY,31,2020-12-01 00:00:00,2026-02-28 00:00:00
OMZZP,31,2014-06-01 00:00:00,2026-02-28 00:00:00
OZON,31,2020-11-01 00:00:00,2026-02-28 00:00:00
OZPH,31,2024-10-01 00:00:00,2026-02-28 00:00:00
PAZA,31,2014-06-01 00:00:00,2026-02-28 00:00:00
PHOR,31,2013-02-01 00:00:00,2026-02-28 00:00:00
PIKK,31,2011-09-01 00:00:00,2026-02-28 00:00:00
PLZL,31,2014-06-01 00:00:00,2026-02-28 00:00:00
PMSB,31,2014-06-01 00:00:00,2026-02-28 00:00:00
PMSBP,31,2014-06-01 00:00:00,2026-02-28 00:00:00
POSI,31,2021-12-01 00:00:00,2026-02-28 00:00:00
PRFN,31,2014-06-01 00:00:00,2026-02-28 00:00:00
PRMB,31,2014-06-01 00:00:00,2026-02-28 00:00:00
PRMD,31,2024-07-01 00:00:00,2026-02-28 00:00:00
RAGR,31,2025-02-01 00:00:00,2026-02-28 00:00:00
RASP,31,2014-06-01 00:00:00,2026-02-28 00:00:00
RBCM,31,2014-06-01 00:00:00,2026-02-28 00:00:00
RDRB,31,2014-12-01 00:00:00,2026-02-28 00:00:00
RENI,31,2021-10-01 00:00:00,2026-02-28 00:00:00
RGSS,31,2013-12-01 00:00:00,2026-02-28 00:00:00
RKKE,31,2014-06-01 00:00:00,2026-02-28 00:00:00
RNFT,31,2016-11-01 00:00:00,2026-02-28 00:00:00
ROLO,31,2014-06-01 00:00:00,2026-02-28 00:00:00
ROSN,31,2014-06-01 00:00:00,2026-02-28 00:00:00
ROST,31,2011-01-01 00:00:00,2026-02-28 00:00:00
RTGZ,31,2014-07-01 00:00:00,2026-02-28 00:00:00
RTKM,31,2003-10-01 00:00:00,2026-02-28 00:00:00
RTKMP,31,2003-10-01 00:00:00,2026-02-28 00:00:00
RTSB,31,2014-06-01 00:00:00,2026-02-28 00:00:00
RTSBP,31,2014-06-01 00:00:00,2026-02-28 00:00:00
RUAL,31,2015-03-01 00:00:00,2026-02-28 00:00:00
RUSI,31,2014-06-01 00:00:00,2026-02-28 00:00:00
RZSB,31,2014-06-01 00:00:00,2026-02-28 00:00:00
SAGO,31,2003-07-01 00:00:00,2026-02-28 00:00:00
SAGOP,31,2003-07-01 00:00:00,2026-02-28 00:00:00
SARE,31,2014-06-01 00:00:00,2026-02-28 00:00:00
SAREP,31,2014-06-01 00:00:00,2026-02-28 00:00:00
SBER,31,2007-07-01 00:00:00,2026-02-28 00:00:00
SBERP,31,2007-07-01 00:00:00,2026-02-28 00:00:00
SELG,31,2011-12-01 00:00:00,2026-02-28 00:00:00
SFIN,31,2018-01-01 00:00:00,2026-02-28 00:00:00
SGZH,31,2021-04-01 00:00:00,2026-02-28 00:00:00
SIBN,31,2003-07-01 00:00:00,2026-02-28 00:00:00
SLEN,31,2017-02-01 00:00:00,2026-02-28 00:00:00
SMLT,31,2020-10-01 00:00:00,2026-02-28 00:00:00
SNGS,31,2014-06-01 00:00:00,2026-02-28 00:00:00
SNGSP,31,2014-06-01 00:00:00,2026-02-28 00:00:00
SOFL,31,2023-09-01 00:00:00,2026-02-28 00:00:00
SPBE,31,2021-11-01 00:00:00,2026-02-28 00:00:00
STSB,31,2014-06-01 00:00:00,2026-02-28 00:00:00
STSBP,31,2014-06-01 00:00:00,2026-02-28 00:00:00
SVAV,31,2014-06-01 00:00:00,2026-02-28 00:00:00
SVCB,31,2023-12-01 00:00:00,2026-02-28 00:00:00
SVET,31,2021-01-01 00:00:00,2026-02-28 00:00:00
SVETP,31,2024-05-01 00:00:00,2026-02-28 00:00:00
T,31,2019-10-01 00:00:00,2026-02-28 00:00:00
TASB,31,2014-06-01 00:00:00,2026-02-28 00:00:00
TASBP,31,2014-06-01 00:00:00,2026-02-28 00:00:00
TATN,31,2002-01-01 00:00:00,2026-02-28 00:00:00
TATNP,31,2002-01-01 00:00:00,2026-02-28 00:00:00
TGKA,31,2009-07-01 00:00:00,2026-02-28 00:00:00
TGKB,31,2014-06-01 00:00:00,2026-02-28 00:00:00
TGKBP,31,2014-06-01 00:00:00,2026-02-28 00:00:00
TGKN,31,2014-06-01 00:00:00,2026-02-28 00:00:00
TNSE,31,2015-06-01 00:00:00,2026-02-28 00:00:00
TORS,31,2014-06-01 00:00:00,2026-02-28 00:00:00
TORSP,31,2014-06-01 00:00:00,2026-02-28 00:00:00
TRMK,31,2009-07-01 00:00:00,2026-02-28 00:00:00
TRNFP,31,2013-12-01 00:00:00,2026-02-28 00:00:00
TTLK,31,2014-06-01 00:00:00,2026-02-28 00:00:00
TUZA,31,2014-06-01 00:00:00,2026-02-28 00:00:00
UGLD,31,2023-11-01 00:00:00,2026-02-28 00:00:00
UKUZ,31,2014-06-01 00:00:00,2026-02-28 00:00:00
UNAC,31,2014-06-01 00:00:00,2026-02-28 00:00:00
UNKL,31,2014-06-01 00:00:00,2026-02-28 00:00:00
UPRO,31,2016-07-01 00:00:00,2026-02-28 00:00:00
URKZ,31,2014-06-01 00:00:00,2026-02-28 00:00:00
USBN,31,2014-06-01 00:00:00,2026-02-28 00:00:00
UTAR,31,2012-02-01 00:00:00,2026-02-28 00:00:00
UWGN,31,2015-04-01 00:00:00,2026-02-28 00:00:00
VEON-RX,31,2021-11-01 00:00:00,2026-02-28 00:00:00
VGSB,31,2014-06-01 00:00:00,2026-02-28 00:00:00
VGSBP,31,2014-06-01 00:00:00,2026-02-28 00:00:00
VJGZ,31,2014-06-01 00:00:00,2026-02-28 00:00:00
VJGZP,31,2014-06-01 00:00:00,2026-02-28 00:00:00
VKCO,31,2021-12-01 00:00:00,2026-02-28 00:00:00
VLHZ,31,2014-06-01 00:00:00,2026-02-28 00:00:00
VRSB,31,2014-06-01 00:00:00,2026-02-28 00:00:00
VRSBP,31,2014-07-01 00:00:00,2026-02-28 00:00:00
VSEH,31,2024-07-01 00:00:00,2026-02-28 00:00:00
VSMO,31,2014-06-01 00:00:00,2026-02-28 00:00:00
VSYD,31,2014-11-01 00:00:00,2026-02-28 00:00:00
VSYDP,31,2014-07-01 00:00:00,2026-02-28 00:00:00
VTBR,31,2013-02-01 00:00:00,2026-02-28 00:00:00
WTCM,31,2014-06-01 00:00:00,2026-02-28 00:00:00
WTCMP,31,2014-06-01 00:00:00,2026-02-28 00:00:00
WUSH,31,2022-12-01 00:00:00,2026-02-28 00:00:00
X5,31,2025-01-01 00:00:00,2026-02-28 00:00:00
YAKG,31,2014-06-01 00:00:00,2026-02-28 00:00:00
YDEX,31,2024-07-01 00:00:00,2026-02-28 00:00:00
YKEN,31,2005-01-01 00:00:00,2026-02-28 00:00:00
YKENP,31,2014-06-01 00:00:00,2026-02-28 00:00:00
YRSB,31,2014-06-01 00:00:00,2026-02-28 00:00:00
YRSBP,31,2014-06-01 00:00:00,2026-02-28 00:00:00
ZAYM,31,2024-04-01 00:00:00,2026-02-28 00:00:00
ZILL,31,2014-06-01 00:00:00,2026-02-28 00:00:00
ZVEZ,31,2014-07-01 00:00:00,2026-02-28 00:00:00
