ticker,interval,first_date,last_date
ABIO,10,2014-06-09 10:30:00,2026-02-04 16:53:03
ABRD,10,2014-06-09 10:50:00,2026-02-04 16:53:03
AFKS,10,2014-06-09 10:00:00,2026-02-04 16:56:13
AFLT,10,2011-12-08 10:00:00,2026-02-04 16:56:13
AKRN,10,2014-06-09 10:00:00,2026-02-04 16:48:04
ALRS,10,2012-10-02 10:00:00,2026-02-04 16:56:13
AMEZ,10,2014-06-09 11:10:00,2025-03-12 18:40:00
APRI,10,2024-07-30 16:00:00,2026-02-04 16:39:03
APTK,10,2014-06-09 10:00:00,2026-02-04 16:56:03
AQUA,10,2015-06-10 12:40:00,2026-02-04 16:56:13
ARSA,10,2014-06-09 14:10:00,2026-02-04 16:32:03
ASSB,10,2014-06-09 13:40:00,2026-02-04 16:34:03
ASTR,10,2023-10-13 15:00:00,2026-02-04 16:56:03
AVAN,10,2014-11-20 10:50:00,2026-02-04 16:48:04
BANE,10,2014-06-09 10:00:00,2026-02-04 16:38:03
BANEP,10,2014-06-09 10:00:00,2026-02-04 16:56:03
BAZA,10,2025-12-10 16:00:00,2026-02-04 16:56:18
BELU,10,2017-08-01 10:10:00,2026-02-04 16:56:03
BISVP,10,2014-06-09 16:20:00,2026-02-04 16:56:03
BLNG,10,2014-06-09 10:20:00,2026-02-04 16:55:03
BRZL,10,2014-06-09 12:10:00,2026-02-04 16:54:03
BSPB,10,2014-06-09 10:00:00,2026-02-04 16:56:18
BSPBP,10,2021-04-19 15:00:00,2026-02-04 16:34:03
CARM,10,2023-07-03 09:50:00,2026-02-04 16:53:03
CBOM,10,2015-07-01 09:50:00,2026-02-04 16:56:18
CHGZ,10,2014-06-18 16:30:00,2026-02-04 16:56:03
CHKZ,10,2014-06-09 10:00:00,2026-02-04 16:07:03
CHMF,10,2014-06-09 10:00:00,2026-02-04 16:56:23
CHMK,10,2014-06-09 10:50:00,2026-02-04 15:27:03
CNRU,10,2025-04-03 09:50:00,2026-02-04 16:56:23
CNTL,10,2014-06-09 11:50:00,2026-02-04 16:39:03
CNTLP,10,2014-06-09 10:30:00,2026-02-04 16:23:03
DATA,10,2024-10-01 16:00:00,2026-02-04 16:56:23
DELI,10,2024-02-07 11:00:00,2026-02-04 16:56:23
DIAS,10,2024-02-13 17:50:00,2026-02-04 16:53:03
DIOD,10,2014-06-09 12:30:00,2026-02-04 16:56:23
DOMRF,10,2025-11-20 16:00:00,2026-02-04 16:56:23
DVEC,10,2014-06-09 18:20:00,2026-02-04 16:49:03
DZRD,10,2014-06-11 12:40:00,2026-02-04 16:39:59
DZRDP,10,2014-06-09 12:20:00,2026-02-04 12:16:02
EELT,10,2017-09-07 11:50:00,2026-02-04 16:49:03
ELFV,10,2023-03-29 09:50:00,2026-02-04 16:53:03
ELMT,10,2024-06-06 09:50:00,2026-02-04 16:54:03
ENPG,10,2020-02-20 10:30:00,2026-02-04 16:56:28
ETLN,10,2020-02-03 09:50:00,2026-02-04 16:56:03
EUTR,10,2023-11-21 15:30:00,2026-02-04 16:56:03
FEES,10,2014-06-09 10:00:00,2026-02-04 16:55:03
FESH,10,2014-06-09 10:00:00,2026-02-04 16:56:28
FIXR,10,2025-08-20 09:50:00,2026-02-04 16:56:28
FLOT,10,2020-10-07 09:50:00,2026-02-04 16:56:28
GAZA,10,2014-06-10 13:40:00,2026-02-04 13:27:03
GAZAP,10,2014-06-17 12:30:00,2026-02-04 13:53:03
GAZC,10,2014-12-17 11:50:00,2023-11-30 17:10:00
GAZP,10,2014-06-09 10:00:00,2026-02-04 16:56:28
GAZS,10,2015-02-16 17:00:00,2023-11-30 17:10:00
GAZT,10,2019-12-02 17:30:00,2023-11-30 17:10:00
GCHE,10,2012-03-02 10:00:00,2026-02-04 16:52:03
GECO,10,2023-04-26 09:50:00,2026-02-04 16:56:03
GEMA,10,2019-07-26 10:00:00,2026-02-04 16:56:33
GEMC,10,2021-07-15 09:50:00,2026-02-04 16:56:03
GLRX,10,2025-10-31 15:00:00,2026-02-04 16:56:33
GMKN,10,2014-06-09 10:00:00,2026-02-04 16:56:33
GTRK,10,2017-11-03 13:10:00,2026-02-04 16:53:03
HEAD,10,2024-09-26 09:50:00,2026-02-04 16:56:03
HIMCP,10,2014-06-23 11:40:00,2026-02-04 16:11:03
HNFG,10,2023-11-02 16:00:00,2026-02-04 16:55:03
HYDR,10,2011-12-08 10:00:00,2026-02-04 16:56:33
IGST,10,2014-06-11 11:20:00,2026-02-04 16:12:03
IGSTP,10,2014-07-01 10:10:00,2026-02-04 16:26:03
IRAO,10,2011-12-08 10:00:00,2026-02-04 16:56:33
IRKT,10,2014-06-09 10:40:00,2026-02-04 16:56:03
IVAT,10,2024-06-04 15:00:00,2026-02-04 16:54:03
JNOS,10,2014-06-10 15:50:00,2026-02-04 16:41:03
JNOSP,10,2014-06-10 15:50:00,2026-02-04 15:49:59
KAZT,10,2014-06-18 14:00:00,2026-02-04 16:06:03
KAZTP,10,2014-06-09 18:30:00,2026-02-04 16:49:59
KBSB,10,2014-06-09 10:20:00,2026-02-04 15:28:03
KCHE,10,2014-06-09 17:00:00,2026-02-04 15:03:03
KCHEP,10,2014-07-01 10:30:00,2026-02-04 11:48:02
KFBA,10,2025-06-19 10:00:00,2026-02-04 16:53:03
KGKC,10,2014-06-30 11:50:00,2025-09-15 23:00:00
KGKCP,10,2014-06-30 10:30:00,2025-09-15 23:10:00
KLSB,10,2014-06-24 14:30:00,2026-02-04 15:59:59
KLVZ,10,2024-02-22 16:00:00,2026-02-04 16:41:03
KMAZ,10,2014-06-09 10:00:00,2026-02-04 16:56:43
KMEZ,10,2014-06-09 12:50:00,2026-02-04 16:02:03
KOGK,10,2014-06-09 16:50:00,2026-02-04 16:56:43
KRKN,10,2014-06-11 17:50:00,2026-02-04 16:51:04
KRKNP,10,2014-06-11 17:30:00,2026-02-04 16:11:03
KRKOP,10,2014-06-09 18:30:00,2026-02-04 16:39:03
KROT,10,2014-06-09 10:30:00,2026-02-04 16:47:04
KROTP,10,2014-06-10 16:50:00,2026-02-04 16:54:03
KRSB,10,2014-06-10 10:00:00,2026-02-04 16:49:04
KRSBP,10,2014-06-10 11:50:00,2026-02-04 16:53:03
KUZB,10,2014-07-07 11:40:00,2026-02-04 16:48:04
KZOS,10,2014-06-09 12:30:00,2026-02-04 16:55:03
KZOSP,10,2014-06-09 13:00:00,2026-02-04 16:54:03
LEAS,10,2024-03-29 15:00:00,2026-02-04 16:56:48
LENT,10,2021-12-14 16:40:00,2026-02-04 16:56:48
LIFE,10,2014-06-09 10:50:00,2026-02-04 16:55:03
LKOH,10,2011-12-08 10:00:00,2026-02-04 16:56:48
LMBZ,10,2024-10-30 16:00:00,2026-02-04 16:31:04
LNZL,10,2014-06-09 11:30:00,2026-02-04 16:56:53
LNZLP,10,2014-06-09 10:20:00,2026-02-04 16:56:53
LPSB,10,2014-08-15 17:40:00,2026-02-04 15:59:59
LSNG,10,2014-06-09 10:40:00,2026-02-04 16:56:53
LSNGP,10,2014-06-09 11:20:00,2026-02-04 16:56:03
LSRG,10,2011-12-08 10:00:00,2026-02-04 16:56:53
LVHK,10,2014-06-09 11:10:00,2026-02-04 16:56:03
MAGE,10,2014-06-09 17:00:00,2026-02-04 16:08:03
MAGEP,10,2014-06-09 12:50:00,2026-02-04 16:56:58
MAGN,10,2014-06-09 10:00:00,2026-02-04 16:56:58
MBNK,10,2024-04-26 15:00:00,2026-02-04 16:56:58
MDMG,10,2020-11-09 09:50:00,2026-02-04 16:56:58
MFGS,10,2014-06-10 12:10:00,2026-02-04 14:22:03
MFGSP,10,2014-06-09 14:10:00,2026-02-04 16:43:03
MGKL,10,2023-12-28 16:00:00,2026-02-04 16:56:58
MGNT,10,2011-12-08 10:00:00,2026-02-04 16:56:58
MGNZ,10,2014-06-09 15:20:00,2022-11-07 18:40:00
MGTS,10,2014-06-09 10:30:00,2026-02-04 15:19:59
MGTSP,10,2014-06-09 10:00:00,2026-02-04 16:36:03
MISB,10,2014-06-17 14:10:00,2026-02-04 16:46:04
MISBP,10,2014-06-11 17:00:00,2026-02-04 16:24:03
MOEX,10,2013-04-04 10:00:00,2026-02-04 16:57:03
MRKC,10,2012-10-22 10:10:00,2026-02-04 16:56:03
MRKK,10,2014-06-09 10:40:00,2026-02-04 16:45:04
MRKP,10,2012-02-27 10:00:00,2026-02-04 16:57:03
MRKS,10,2014-06-09 10:00:00,2026-02-04 16:49:04
MRKU,10,2014-06-09 11:00:00,2026-02-04 16:51:04
MRKV,10,2014-06-09 10:10:00,2026-02-04 16:57:03
MRKY,10,2014-06-09 11:20:00,2026-02-04 16:52:03
MRKZ,10,2014-06-09 11:30:00,2026-02-04 16:52:03
MRSB,10,2014-06-16 18:20:00,2026-02-04 16:46:04
MSNG,10,2011-12-08 10:00:00,2026-02-04 16:57:03
MSRS,10,2011-12-08 10:40:00,2026-02-04 16:57:03
MSTT,10,2014-06-09 10:20:00,2026-02-04 16:43:03
MTLR,10,2011-12-08 10:00:00,2026-02-04 16:57:03
MTLRP,10,2011-12-08 10:00:00,2026-02-04 16:56:03
MTSS,10,2011-12-08 10:00:00,2026-02-04 16:57:08
MVID,10,2014-06-09 10:00:00,2026-02-04 16:57:03
NAUK,10,2014-06-19 12:20:00,2026-02-04 16:42:03
NFAZ,10,2014-06-16 14:10:00,2026-02-04 16:16:04
NKHP,10,2015-12-15 13:00:00,2026-02-04 16:53:03
NKNC,10,2014-06-09 13:20:00,2026-02-04 16:49:04
NKNCP,10,2014-06-09 10:00:00,2026-02-04 16:56:03
NKSH,10,2014-06-09 16:10:00,2026-02-04 16:19:59
NLMK,10,2014-06-09 10:00:00,2026-02-04 16:57:13
NMTP,10,2014-06-09 10:00:00,2026-02-04 16:57:03
NNSB,10,2014-06-09 17:30:00,2026-02-04 16:54:03
NNSBP,10,2014-06-09 14:40:00,2026-02-04 15:55:03
NSVZ,10,2014-06-16 17:00:00,2026-02-04 16:57:03
NVTK,10,2011-12-08 10:00:00,2026-02-04 16:57:18
OGKB,10,2011-12-08 10:00:00,2026-02-04 16:57:03
OKEY,10,2020-12-14 09:50:00,2026-02-04 16:47:04
OMZZP,10,2014-06-09 10:30:00,2026-02-04 13:57:03
OZON,10,2020-11-24 18:30:00,2026-02-04 16:57:18
OZPH,10,2024-10-17 16:00:00,2026-02-04 16:57:18
PAZA,10,2014-06-17 14:00:00,2026-02-04 16:31:04
PHOR,10,2013-02-28 10:10:00,2026-02-04 16:57:03
PIKK,10,2011-12-08 10:00:00,2026-02-04 16:57:18
PLZL,10,2014-06-09 10:00:00,2026-02-04 16:57:18
PMSB,10,2014-06-10 16:40:00,2026-02-04 16:56:03
PMSBP,10,2014-06-09 18:00:00,2026-02-04 16:57:23
POSI,10,2021-12-17 11:00:00,2026-02-04 16:57:03
PRFN,10,2014-06-11 14:00:00,2026-02-04 16:57:03
PRMB,10,2014-06-24 17:20:00,2026-02-04 10:29:02
PRMD,10,2024-07-12 16:00:00,2026-02-04 16:57:23
RAGR,10,2025-02-17 09:50:00,2026-02-04 16:57:03
RASP,10,2014-06-09 10:00:00,2026-02-04 16:56:03
RBCM,10,2014-06-09 10:10:00,2026-02-04 16:46:04
RDRB,10,2014-12-11 17:00:00,2026-02-04 16:27:04
RENI,10,2021-10-21 09:50:00,2026-02-04 16:57:28
RGSS,10,2013-12-26 16:10:00,2026-02-04 16:49:04
RKKE,10,2014-06-10 11:40:00,2026-02-04 16:51:04
RNFT,10,2016-11-25 16:00:00,2026-02-04 16:57:03
ROLO,10,2014-06-10 13:30:00,2026-02-04 16:57:33
ROSN,10,2014-06-09 10:00:00,2026-02-04 16:57:33
ROST,10,2014-06-09 16:00:00,2026-02-04 16:48:04
RTGZ,10,2014-07-02 17:10:00,2026-02-04 15:56:04
RTKM,10,2011-12-08 10:00:00,2026-02-04 16:57:33
RTKMP,10,2011-12-08 10:00:00,2026-02-04 16:57:33
RTSB,10,2014-06-24 15:50:00,2026-02-04 16:49:59
RTSBP,10,2014-06-09 11:20:00,2026-02-04 16:16:04
RUAL,10,2015-03-30 10:00:00,2026-02-04 16:57:33
RUSI,10,2014-06-09 10:10:00,2026-02-04 16:54:03
RZSB,10,2014-06-10 10:00:00,2026-02-04 16:57:03
SAGO,10,2014-06-09 14:20:00,2026-02-04 16:31:04
SAGOP,10,2014-06-09 11:50:00,2026-02-04 16:31:04
SARE,10,2014-06-09 13:30:00,2026-02-04 16:57:33
SAREP,10,2014-06-09 14:20:00,2026-02-04 16:55:03
SBER,10,2011-12-08 10:00:00,2026-02-04 16:57:38
SBERP,10,2011-12-08 10:00:00,2026-02-04 16:57:38
SELG,10,2011-12-08 10:00:00,2026-02-04 16:57:38
SFIN,10,2018-01-03 09:50:00,2026-02-04 16:57:38
SGZH,10,2021-04-28 09:50:00,2026-02-04 16:57:38
SIBN,10,2014-06-09 10:20:00,2026-02-04 16:57:38
SLEN,10,2017-02-06 16:40:00,2026-02-04 16:56:03
SMLT,10,2020-10-29 09:50:00,2026-02-04 16:57:38
SNGS,10,2014-06-09 10:00:00,2026-02-04 16:57:38
SNGSP,10,2014-06-09 10:00:00,2026-02-04 16:57:38
SOFL,10,2023-09-25 09:50:00,2026-02-04 16:57:38
SPBE,10,2021-11-19 09:50:00,2026-02-04 16:57:38
STSB,10,2014-06-11 15:20:00,2026-02-04 16:27:04
STSBP,10,2014-06-11 10:50:00,2026-02-04 16:48:04
SVAV,10,2014-06-09 10:00:00,2026-02-04 16:57:04
SVCB,10,2023-12-15 17:00:00,2026-02-04 16:57:43
SVET,10,2021-01-18 10:00:00,2026-02-04 16:56:03
SVETP,10,2024-05-27 10:00:00,2026-02-04 16:54:03
T,10,2019-10-28 09:50:00,2026-02-04 16:57:43
TASB,10,2014-06-09 12:20:00,2026-02-04 13:06:02
TASBP,10,2014-06-19 10:10:00,2026-02-04 16:21:03
TATN,10,2011-12-08 10:00:00,2026-02-04 16:57:43
TATNP,10,2011-12-08 10:00:00,2026-02-04 16:57:43
TGKA,10,2011-12-08 10:00:00,2026-02-04 16:57:43
TGKB,10,2014-06-09 11:00:00,2026-02-04 16:54:03
TGKBP,10,2014-06-09 13:50:00,2026-02-04 16:56:03
TGKN,10,2014-06-09 12:00:00,2026-02-04 16:56:03
TNSE,10,2015-06-17 10:00:00,2026-02-04 16:41:03
TORS,10,2014-06-09 13:10:00,2026-02-04 16:36:03
TORSP,10,2014-06-10 12:10:00,2026-02-04 16:34:03
TRMK,10,2011-12-08 10:00:00,2026-02-04 16:57:48
TRNFP,10,2013-12-16 10:00:00,2026-02-04 16:57:48
TTLK,10,2014-06-09 14:30:00,2026-02-04 16:52:03
TUZA,10,2014-06-09 17:50:00,2026-02-04 16:22:03
UGLD,10,2023-11-22 16:00:00,2026-02-04 16:57:48
UKUZ,10,2014-06-09 15:50:00,2026-02-04 14:15:03
UNAC,10,2014-06-09 12:10:00,2026-02-04 16:57:04
UNKL,10,2014-06-11 11:10:00,2026-02-04 16:56:04
UPRO,10,2016-07-01 09:50:00,2026-02-04 16:57:53
URKZ,10,2014-06-10 18:10:00,2026-02-04 16:51:04
USBN,10,2014-06-09 10:00:00,2026-02-04 16:41:03
UTAR,10,2012-02-27 10:00:00,2026-02-04 16:24:03
UWGN,10,2015-04-30 10:10:00,2026-02-04 16:57:53
VEON-RX,10,2021-11-26 10:00:00,2026-02-04 16:51:04
VGSB,10,2014-06-09 17:30:00,2026-02-04 16:55:04
VGSBP,10,2014-06-09 10:40:00,2026-02-04 16:57:04
VJGZ,10,2014-06-17 12:50:00,2026-02-04 13:08:03
VJGZP,10,2014-06-20 15:50:00,2026-02-04 16:13:04
VKCO,10,2021-12-14 07:00:00,2026-02-04 16:57:53
VLHZ,10,2014-06-10 11:30:00,2026-02-04 16:49:04
VRSB,10,2014-06-18 12:40:00,2026-02-04 16:39:59
VRSBP,10,2014-07-15 12:10:00,2026-02-04 15:18:03
VSEH,10,2024-07-05 16:00:00,2026-02-04 16:57:53
VSMO,10,2014-06-09 10:10:00,2026-02-04 16:57:58
VSYD,10,2014-11-11 16:50:00,2026-02-04 14:16:03
VSYDP,10,2014-07-16 17:00:00,2026-02-04 14:18:03
VTBR,10,2013-02-28 10:00:00,2026-02-04 16:57:58
WTCM,10,2014-06-09 10:10:00,2026-02-04 16:52:03
WTCMP,10,2014-06-09 14:40:00,2026-02-04 15:26:03
WUSH,10,2022-12-14 15:00:00,2026-02-04 16:57:58
X5,10,2025-01-09 09:50:00,2026-02-04 16:57:58
YAKG,10,2014-06-16 17:00:00,2026-02-04 16:53:03
YDEX,10,2024-07-24 09:50:00,2026-02-04 16:57:58
YKEN,10,2014-06-10 15:10:00,2026-02-04 16:56:04
YKENP,10,2014-06-19 17:40:00,2026-02-04 13:16:03
YRSB,10,2014-06-18 17:00:00,2026-02-04 09:21:01
YRSBP,10,2014-06-16 10:10:00,2026-02-04 15:41:04
ZAYM,10,2024-04-12 15:00:00,2026-02-04 16:54:03
ZILL,10,2014-06-09 11:30:00,2026-02-04 16:49:59
ZVEZ,10,2014-07-17 17:10:00,2026-02-04 16:39:59
