ticker,interval,first_date,last_date
KZOSP,24,2014-06-09 00:00:00,2026-02-04 17:10:23
LEAS,24,2024-03-29 00:00:00,2026-02-04 17:10:23
LENT,24,2021-12-14 00:00:00,2026-02-04 17:10:23
LIFE,24,2014-06-09 00:00:00,2026-02-04 17:10:28
LKOH,24,2003-08-20 00:00:00,2026-02-04 17:10:28
LMBZ,24,2024-10-30 00:00:00,2026-02-04 17:10:28
LNZL,24,2014-06-09 00:00:00,2026-02-04 17:10:28
LNZLP,24,2014-06-09 00:00:00,2026-02-04 17:10:28
LPSB,24,2014-08-15 00:00:00,2026-02-04 17:10:28
LSNG,24,2014-06-09 00:00:00,2026-02-04 17:10:28
LSNGP,24,2014-06-09 00:00:00,2026-02-04 17:10:28
LSRG,24,2011-02-15 00:00:00,2026-02-04 17:10:28
LVHK,24,2014-06-09 00:00:00,2026-02-04 17:10:28
MAGE,24,2014-06-09 00:00:00,2026-02-04 17:10:28
MAGEP,24,2014-06-09 00:00:00,2026-02-04 17:10:28
MAGN,24,2014-06-09 00:00:00,2026-02-04 17:10:28
MBNK,24,2024-04-26 00:00:00,2026-02-04 17:10:28
MDMG,24,2020-11-09 00:00:00,2026-02-04 17:10:28
MFGS,24,2014-06-10 00:00:00,2026-02-04 17:10:33
MFGSP,24,2014-06-09 00:00:00,2026-02-04 17:10:33
MGKL,24,2023-12-28 00:00:00,2026-02-04 17:10:33
MGNT,24,2011-01-12 00:00:00,2026-02-04 17:10:33
MGNZ,24,2014-06-09 00:00:00,2022-11-07 00:00:00
MGTS,24,2003-03-12 00:00:00,2026-02-04 17:10:33
MGTSP,24,2003-03-11 00:00:00,2026-02-04 17:10:33
MISB,24,2014-06-17 00:00:00,2026-02-04 17:10:33
MISBP,24,2014-06-11 00:00:00,2026-02-04 17:10:33
MOEX,24,2013-04-04 00:00:00,2026-02-04 17:10:33
MRKC,24,2012-10-22 00:00:00,2026-02-04 17:10:33
MRKK,24,2014-06-09 00:00:00,2026-02-04 17:10:33
MRKP,24,2012-02-27 00:00:00,2026-02-04 17:10:33
MRKS,24,2014-06-09 00:00:00,2026-02-04 17:10:33
MRKU,24,2014-06-09 00:00:00,2026-02-04 17:10:38
MRKV,24,2014-06-09 00:00:00,2026-02-04 17:10:38
MRKY,24,2014-06-09 00:00:00,2026-02-04 17:10:38
MRKZ,24,2014-06-09 00:00:00,2026-02-04 17:10:38
MRSB,24,2014-06-16 00:00:00,2026-02-04 17:10:38
MSNG,24,2003-09-11 00:00:00,2026-02-04 17:10:38
MSRS,24,2009-02-19 00:00:00,2026-02-04 17:10:38
MSTT,24,2014-06-09 00:00:00,2026-02-04 17:10:38
MTLR,24,2009-03-19 00:00:00,2026-02-04 17:10:38
MTLRP,24,2011-08-04 00:00:00,2026-02-04 17:10:38
MTSS,24,2010-10-21 00:00:00,2026-02-04 17:10:43
MVID,24,2014-06-09 00:00:00,2026-02-04 17:10:43
NAUK,24,2014-06-19 00:00:00,2026-02-04 17:10:43
NFAZ,24,2014-06-16 00:00:00,2026-02-04 17:10:43
NKHP,24,2015-12-15 00:00:00,2026-02-04 17:10:43
NKNC,24,2014-06-09 00:00:00,2026-02-04 17:10:43
NKNCP,24,2014-06-09 00:00:00,2026-02-04 17:10:43
NKSH,24,2014-06-09 00:00:00,2026-02-04 17:10:43
NLMK,24,2014-06-09 00:00:00,2026-02-04 17:10:43
NMTP,24,2014-06-09 00:00:00,2026-02-04 17:10:49
NNSB,24,2014-06-09 00:00:00,2026-02-04 17:10:49
NNSBP,24,2014-06-09 00:00:00,2026-02-04 17:10:58
NSVZ,24,2014-06-16 00:00:00,2026-02-04 17:10:58
NVTK,24,2009-10-09 00:00:00,2026-02-04 17:10:58
OGKB,24,2009-11-12 00:00:00,2026-02-04 17:10:58
